"seed_id","component","seed","offset_from_master","derivation","scenario_invariant","prespecified_before_pilot"
"CONF02","method_WINN_auto_batch_QC",202610903,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","method_WINN_fixed_no_QC",202611003,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","master_seed",202609003,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF03","clean_truth",202609104,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","batch_assignment",202609214,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","batch_magnitude",202609310,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","drift_assignment",202609404,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","drift_morphology",202609506,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","drift_shape",202609604,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","responsive_features",202609704,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","allocation_priority",202609812,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","method_Raw",202610204,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","method_ComBat",202610304,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","method_QC_RLSC",202610404,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","method_QC_RFSC",202610504,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","method_TIGER",202610604,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","method_SERRF",202610704,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","method_WINN_auto_QC",202610804,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","method_WINN_auto_batch_QC",202610904,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF03","method_WINN_fixed_no_QC",202611004,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","master_seed",202609004,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF04","clean_truth",202609105,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","batch_assignment",202609215,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","batch_magnitude",202609311,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","drift_assignment",202609405,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","drift_morphology",202609507,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","drift_shape",202609605,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","responsive_features",202609705,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","allocation_priority",202609813,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","method_Raw",202610205,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","method_ComBat",202610305,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","method_QC_RLSC",202610405,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","method_QC_RFSC",202610505,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","method_TIGER",202610605,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","method_SERRF",202610705,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","method_WINN_auto_QC",202610805,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","method_WINN_auto_batch_QC",202610905,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF04","method_WINN_fixed_no_QC",202611005,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","master_seed",202609005,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF05","clean_truth",202609106,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","batch_assignment",202609216,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","batch_magnitude",202609312,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","drift_assignment",202609406,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","drift_morphology",202609508,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","drift_shape",202609606,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","responsive_features",202609706,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","allocation_priority",202609814,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","method_Raw",202610206,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","method_ComBat",202610306,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","method_QC_RLSC",202610406,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","method_QC_RFSC",202610506,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","method_TIGER",202610606,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","method_SERRF",202610706,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","method_WINN_auto_QC",202610806,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","method_WINN_auto_batch_QC",202610906,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF05","method_WINN_fixed_no_QC",202611006,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","master_seed",202609006,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF06","clean_truth",202609107,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","batch_assignment",202609217,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","batch_magnitude",202609313,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","drift_assignment",202609407,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","drift_morphology",202609509,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","drift_shape",202609607,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","responsive_features",202609707,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","allocation_priority",202609815,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","method_Raw",202610207,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","method_ComBat",202610307,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","method_QC_RLSC",202610407,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","method_QC_RFSC",202610507,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","method_TIGER",202610607,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","method_SERRF",202610707,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","method_WINN_auto_QC",202610807,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","method_WINN_auto_batch_QC",202610907,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF06","method_WINN_fixed_no_QC",202611007,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","master_seed",202609007,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF07","clean_truth",202609108,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","batch_assignment",202609218,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","batch_magnitude",202609314,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","drift_assignment",202609408,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","drift_morphology",202609510,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","drift_shape",202609608,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","responsive_features",202609708,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","allocation_priority",202609816,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","method_Raw",202610208,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","method_ComBat",202610308,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","method_QC_RLSC",202610408,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","method_QC_RFSC",202610508,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","method_TIGER",202610608,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","method_SERRF",202610708,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","method_WINN_auto_QC",202610808,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","method_WINN_auto_batch_QC",202610908,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF07","method_WINN_fixed_no_QC",202611008,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","master_seed",202609008,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF08","clean_truth",202609109,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","batch_assignment",202609219,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","batch_magnitude",202609315,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","drift_assignment",202609409,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","drift_morphology",202609511,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","drift_shape",202609609,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","responsive_features",202609709,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","allocation_priority",202609817,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","method_Raw",202610209,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","method_ComBat",202610309,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","method_QC_RLSC",202610409,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","method_QC_RFSC",202610509,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","method_TIGER",202610609,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","method_SERRF",202610709,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","method_WINN_auto_QC",202610809,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","method_WINN_auto_batch_QC",202610909,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF08","method_WINN_fixed_no_QC",202611009,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","master_seed",202609009,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF09","clean_truth",202609110,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","batch_assignment",202609220,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","batch_magnitude",202609316,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","drift_assignment",202609410,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","drift_morphology",202609512,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","drift_shape",202609610,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","responsive_features",202609710,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","allocation_priority",202609818,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","method_Raw",202610210,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","method_ComBat",202610310,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","method_QC_RLSC",202610410,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","method_QC_RFSC",202610510,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","method_TIGER",202610610,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","method_SERRF",202610710,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","method_WINN_auto_QC",202610810,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","method_WINN_auto_batch_QC",202610910,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF09","method_WINN_fixed_no_QC",202611010,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","master_seed",202609010,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF10","clean_truth",202609111,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","batch_assignment",202609221,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","batch_magnitude",202609317,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","drift_assignment",202609411,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","drift_morphology",202609513,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","drift_shape",202609611,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","responsive_features",202609711,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","allocation_priority",202609819,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","method_Raw",202610211,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","method_ComBat",202610311,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","method_QC_RLSC",202610411,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","method_QC_RFSC",202610511,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","method_TIGER",202610611,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","method_SERRF",202610711,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","method_WINN_auto_QC",202610811,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","method_WINN_auto_batch_QC",202610911,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF10","method_WINN_fixed_no_QC",202611011,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","master_seed",202609011,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF11","clean_truth",202609112,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","batch_assignment",202609222,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","batch_magnitude",202609318,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","drift_assignment",202609412,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","drift_morphology",202609514,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","drift_shape",202609612,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","responsive_features",202609712,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","allocation_priority",202609820,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","method_Raw",202610212,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","method_ComBat",202610312,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","method_QC_RLSC",202610412,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","method_QC_RFSC",202610512,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","method_TIGER",202610612,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","method_SERRF",202610712,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","method_WINN_auto_QC",202610812,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","method_WINN_auto_batch_QC",202610912,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF11","method_WINN_fixed_no_QC",202611012,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","master_seed",202609012,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF12","clean_truth",202609113,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","batch_assignment",202609223,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","batch_magnitude",202609319,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","drift_assignment",202609413,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","drift_morphology",202609515,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","drift_shape",202609613,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","responsive_features",202609713,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","allocation_priority",202609821,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","method_Raw",202610213,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","method_ComBat",202610313,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","method_QC_RLSC",202610413,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","method_QC_RFSC",202610513,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","method_TIGER",202610613,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","method_SERRF",202610713,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","method_WINN_auto_QC",202610813,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","method_WINN_auto_batch_QC",202610913,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF12","method_WINN_fixed_no_QC",202611013,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","master_seed",202609013,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF13","clean_truth",202609114,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","batch_assignment",202609224,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","batch_magnitude",202609320,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","drift_assignment",202609414,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","drift_morphology",202609516,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","drift_shape",202609614,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","responsive_features",202609714,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","allocation_priority",202609822,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","method_Raw",202610214,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","method_ComBat",202610314,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","method_QC_RLSC",202610414,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","method_QC_RFSC",202610514,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","method_TIGER",202610614,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","method_SERRF",202610714,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","method_WINN_auto_QC",202610814,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","method_WINN_auto_batch_QC",202610914,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF13","method_WINN_fixed_no_QC",202611014,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","master_seed",202609014,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF14","clean_truth",202609115,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","batch_assignment",202609225,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","batch_magnitude",202609321,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","drift_assignment",202609415,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","drift_morphology",202609517,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","drift_shape",202609615,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","responsive_features",202609715,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","allocation_priority",202609823,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","method_Raw",202610215,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","method_ComBat",202610315,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","method_QC_RLSC",202610415,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","method_QC_RFSC",202610515,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","method_TIGER",202610615,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","method_SERRF",202610715,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","method_WINN_auto_QC",202610815,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","method_WINN_auto_batch_QC",202610915,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF14","method_WINN_fixed_no_QC",202611015,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","master_seed",202609015,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF15","clean_truth",202609116,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","batch_assignment",202609226,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","batch_magnitude",202609322,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","drift_assignment",202609416,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","drift_morphology",202609518,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","drift_shape",202609616,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","responsive_features",202609716,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","allocation_priority",202609824,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","method_Raw",202610216,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","method_ComBat",202610316,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","method_QC_RLSC",202610416,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","method_QC_RFSC",202610516,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","method_TIGER",202610616,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","method_SERRF",202610716,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","method_WINN_auto_QC",202610816,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","method_WINN_auto_batch_QC",202610916,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF15","method_WINN_fixed_no_QC",202611016,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","master_seed",202609016,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF16","clean_truth",202609117,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","batch_assignment",202609227,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","batch_magnitude",202609323,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","drift_assignment",202609417,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","drift_morphology",202609519,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","drift_shape",202609617,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","responsive_features",202609717,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","allocation_priority",202609825,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","method_Raw",202610217,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","method_ComBat",202610317,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","method_QC_RLSC",202610417,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","method_QC_RFSC",202610517,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","method_TIGER",202610617,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","method_SERRF",202610717,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","method_WINN_auto_QC",202610817,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","method_WINN_auto_batch_QC",202610917,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF16","method_WINN_fixed_no_QC",202611017,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","master_seed",202609017,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF17","clean_truth",202609118,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","batch_assignment",202609228,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","batch_magnitude",202609324,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","drift_assignment",202609418,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","drift_morphology",202609520,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","drift_shape",202609618,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","responsive_features",202609718,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","allocation_priority",202609826,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","method_Raw",202610218,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","method_ComBat",202610318,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","method_QC_RLSC",202610418,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","method_QC_RFSC",202610518,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","method_TIGER",202610618,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","method_SERRF",202610718,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","method_WINN_auto_QC",202610818,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","method_WINN_auto_batch_QC",202610918,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF17","method_WINN_fixed_no_QC",202611018,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF18","master_seed",202609018,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF18","clean_truth",202609119,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF18","batch_assignment",202609229,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF18","batch_magnitude",202609325,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF18","drift_assignment",202609419,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF18","drift_morphology",202609521,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF18","drift_shape",202609619,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF18","responsive_features",202609719,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF18","allocation_priority",202609827,809,"master_seed + fixed component offset",TRUE,TRUE
