metabolite	batch_effect_applied	batch_effect_strength	drift_effect_applied_any_plate	n_plates_with_drift	drift_type_linear	drift_type_nonlinear	drift_type_ar1	drift_type_mixed
M295	FALSE	none	FALSE	0	0	0	0	0
M296	TRUE	moderate	FALSE	0	0	0	0	0
M297	FALSE	none	FALSE	0	0	0	0	0
M298	TRUE	moderate	FALSE	0	0	0	0	0
M299	TRUE	moderate	TRUE	1	1	0	0	0
M300	TRUE	moderate	TRUE	2	1	0	1	0
M301	TRUE	moderate	FALSE	0	0	0	0	0
M302	TRUE	strong	TRUE	3	2	1	0	0
M303	TRUE	moderate	TRUE	3	2	0	1	0
M304	TRUE	moderate	FALSE	0	0	0	0	0
M305	FALSE	none	FALSE	0	0	0	0	0
M306	TRUE	moderate	TRUE	3	0	2	0	1
M307	TRUE	strong	TRUE	2	1	0	0	1
M308	TRUE	moderate	TRUE	4	2	1	0	1
M309	FALSE	none	FALSE	0	0	0	0	0
M310	TRUE	moderate	TRUE	2	0	2	0	0
M311	TRUE	moderate	TRUE	3	2	0	0	1
M312	TRUE	moderate	TRUE	2	1	0	0	1
M313	TRUE	moderate	TRUE	3	1	1	0	1
M314	FALSE	none	TRUE	2	1	0	1	0
M315	TRUE	moderate	TRUE	2	0	1	0	1
M316	TRUE	moderate	TRUE	2	0	1	1	0
M317	TRUE	moderate	FALSE	0	0	0	0	0
M318	TRUE	moderate	TRUE	4	0	2	0	2
M319	TRUE	strong	FALSE	0	0	0	0	0
M320	TRUE	moderate	TRUE	4	2	1	1	0
M321	FALSE	none	FALSE	0	0	0	0	0
M322	TRUE	moderate	TRUE	2	2	0	0	0
M323	TRUE	moderate	FALSE	0	0	0	0	0
M324	TRUE	moderate	TRUE	1	1	0	0	0
M325	TRUE	moderate	TRUE	2	0	0	0	2
M326	TRUE	moderate	FALSE	0	0	0	0	0
M327	TRUE	moderate	TRUE	1	1	0	0	0
M328	TRUE	strong	TRUE	2	0	2	0	0
M329	TRUE	moderate	TRUE	3	1	1	1	0
M330	TRUE	moderate	FALSE	0	0	0	0	0
M331	TRUE	moderate	TRUE	2	2	0	0	0
M332	FALSE	none	FALSE	0	0	0	0	0
M333	TRUE	strong	TRUE	3	1	2	0	0
M334	TRUE	moderate	TRUE	4	2	0	1	1
M335	TRUE	moderate	TRUE	2	1	0	0	1
M336	FALSE	none	TRUE	4	1	1	0	2
M337	TRUE	moderate	TRUE	2	1	1	0	0
M338	TRUE	moderate	TRUE	4	3	1	0	0
M339	TRUE	moderate	TRUE	3	0	1	0	2
M340	TRUE	moderate	FALSE	0	0	0	0	0
M341	TRUE	moderate	TRUE	5	1	1	2	1
M342	TRUE	moderate	TRUE	2	1	1	0	0
M343	FALSE	none	TRUE	4	0	2	0	2
M344	FALSE	none	FALSE	0	0	0	0	0
M345	TRUE	moderate	TRUE	2	0	1	1	0
M346	TRUE	strong	TRUE	4	2	0	2	0
M347	FALSE	none	FALSE	0	0	0	0	0
M348	TRUE	moderate	FALSE	0	0	0	0	0
M349	FALSE	none	TRUE	1	1	0	0	0
M350	TRUE	strong	TRUE	5	3	1	1	0
M351	FALSE	none	TRUE	5	1	3	0	1
M352	FALSE	none	TRUE	3	0	2	1	0
M353	TRUE	moderate	FALSE	0	0	0	0	0
M354	FALSE	none	FALSE	0	0	0	0	0
M355	TRUE	moderate	FALSE	0	0	0	0	0
M356	TRUE	moderate	TRUE	4	1	2	1	0
M357	TRUE	moderate	FALSE	0	0	0	0	0
M358	FALSE	none	FALSE	0	0	0	0	0
M359	TRUE	moderate	TRUE	1	0	1	0	0
M360	FALSE	none	TRUE	4	0	2	2	0
M361	TRUE	moderate	TRUE	2	2	0	0	0
M362	TRUE	moderate	TRUE	1	0	1	0	0
M363	FALSE	none	TRUE	2	1	1	0	0
M364	FALSE	none	TRUE	3	0	1	1	1
M365	TRUE	strong	FALSE	0	0	0	0	0
M366	TRUE	strong	TRUE	4	1	1	2	0
M367	FALSE	none	TRUE	3	1	0	2	0
M368	FALSE	none	FALSE	0	0	0	0	0
M369	TRUE	strong	FALSE	0	0	0	0	0
M370	TRUE	moderate	TRUE	1	1	0	0	0
M371	TRUE	moderate	FALSE	0	0	0	0	0
M372	FALSE	none	TRUE	2	1	0	1	0
M373	FALSE	none	TRUE	4	3	1	0	0
M374	TRUE	moderate	FALSE	0	0	0	0	0
M375	TRUE	moderate	FALSE	0	0	0	0	0
M376	TRUE	moderate	FALSE	0	0	0	0	0
M377	TRUE	moderate	TRUE	4	2	1	1	0
M378	TRUE	moderate	TRUE	2	1	1	0	0
M379	TRUE	moderate	FALSE	0	0	0	0	0
M380	FALSE	none	FALSE	0	0	0	0	0
M381	FALSE	none	TRUE	2	1	0	0	1
M382	TRUE	moderate	FALSE	0	0	0	0	0
M383	TRUE	moderate	TRUE	1	0	1	0	0
M384	FALSE	none	TRUE	1	0	1	0	0
M385	TRUE	moderate	TRUE	2	1	1	0	0
M386	TRUE	moderate	TRUE	2	1	1	0	0
M387	TRUE	moderate	TRUE	3	1	1	0	1
M388	FALSE	none	FALSE	0	0	0	0	0
M389	FALSE	none	TRUE	3	1	1	0	1
M390	TRUE	moderate	TRUE	3	2	0	1	0
M391	FALSE	none	TRUE	2	0	1	0	1
M392	TRUE	moderate	FALSE	0	0	0	0	0
M393	TRUE	moderate	FALSE	0	0	0	0	0
M394	FALSE	none	TRUE	5	3	0	2	0
M395	TRUE	moderate	TRUE	4	0	2	0	2
M396	TRUE	moderate	TRUE	3	1	1	0	1
M397	TRUE	moderate	FALSE	0	0	0	0	0
M398	FALSE	none	TRUE	2	0	0	1	1
M399	TRUE	moderate	FALSE	0	0	0	0	0
M400	TRUE	moderate	TRUE	4	1	1	1	1
M401	FALSE	none	FALSE	0	0	0	0	0
M402	TRUE	moderate	TRUE	4	1	1	2	0
M403	TRUE	moderate	FALSE	0	0	0	0	0
M404	TRUE	moderate	TRUE	4	2	2	0	0
M405	TRUE	strong	TRUE	5	2	1	2	0
M406	FALSE	none	FALSE	0	0	0	0	0
M407	FALSE	none	FALSE	0	0	0	0	0
M408	FALSE	none	TRUE	2	0	1	1	0
M409	TRUE	moderate	TRUE	4	1	1	0	2
M410	TRUE	moderate	FALSE	0	0	0	0	0
M411	TRUE	moderate	TRUE	4	2	1	0	1
M412	TRUE	strong	TRUE	4	2	2	0	0
M413	TRUE	moderate	TRUE	4	1	1	1	1
M414	TRUE	moderate	FALSE	0	0	0	0	0
M415	TRUE	moderate	FALSE	0	0	0	0	0
M416	TRUE	moderate	FALSE	0	0	0	0	0
M417	FALSE	none	FALSE	0	0	0	0	0
M418	TRUE	moderate	TRUE	4	1	0	0	3
M419	TRUE	moderate	TRUE	1	0	0	1	0
M420	TRUE	moderate	TRUE	3	2	0	0	1
M421	FALSE	none	TRUE	3	1	0	0	2
M422	TRUE	moderate	TRUE	3	2	1	0	0
M423	FALSE	none	TRUE	2	0	1	0	1
M424	TRUE	moderate	TRUE	2	2	0	0	0
M425	TRUE	moderate	TRUE	3	3	0	0	0
M426	TRUE	moderate	FALSE	0	0	0	0	0
M427	TRUE	moderate	TRUE	4	4	0	0	0
M428	TRUE	moderate	TRUE	2	0	1	1	0
M429	TRUE	strong	FALSE	0	0	0	0	0
M430	FALSE	none	FALSE	0	0	0	0	0
M431	FALSE	none	TRUE	2	1	1	0	0
M432	TRUE	moderate	TRUE	2	2	0	0	0
M433	FALSE	none	TRUE	3	0	2	0	1
M434	FALSE	none	TRUE	4	1	2	0	1
M435	TRUE	strong	TRUE	3	0	3	0	0
M436	FALSE	none	FALSE	0	0	0	0	0
M437	TRUE	moderate	TRUE	2	1	1	0	0
M438	FALSE	none	FALSE	0	0	0	0	0
M439	TRUE	moderate	FALSE	0	0	0	0	0
M440	TRUE	moderate	FALSE	0	0	0	0	0
M441	FALSE	none	TRUE	2	1	0	0	1
M442	FALSE	none	TRUE	5	3	0	1	1
M443	TRUE	moderate	TRUE	3	0	2	0	1
M444	FALSE	none	FALSE	0	0	0	0	0
M445	TRUE	strong	TRUE	2	1	1	0	0
M446	FALSE	none	TRUE	2	1	0	0	1
M447	TRUE	moderate	TRUE	2	0	0	2	0
M448	FALSE	none	FALSE	0	0	0	0	0
M449	TRUE	moderate	FALSE	0	0	0	0	0
M450	FALSE	none	FALSE	0	0	0	0	0
M451	TRUE	moderate	FALSE	0	0	0	0	0
M452	FALSE	none	FALSE	0	0	0	0	0
M453	FALSE	none	TRUE	4	0	1	2	1
M454	TRUE	moderate	FALSE	0	0	0	0	0
M455	TRUE	moderate	FALSE	0	0	0	0	0
M456	TRUE	moderate	FALSE	0	0	0	0	0
M457	TRUE	moderate	TRUE	4	2	1	0	1
M458	TRUE	moderate	FALSE	0	0	0	0	0
M459	TRUE	moderate	FALSE	0	0	0	0	0
M460	FALSE	none	TRUE	3	2	0	0	1
M461	TRUE	moderate	FALSE	0	0	0	0	0
M462	FALSE	none	FALSE	0	0	0	0	0
M463	FALSE	none	FALSE	0	0	0	0	0
M464	FALSE	none	TRUE	2	0	1	0	1
M465	FALSE	none	FALSE	0	0	0	0	0
M466	FALSE	none	TRUE	5	3	1	0	1
M467	TRUE	moderate	FALSE	0	0	0	0	0
M468	TRUE	moderate	TRUE	2	1	1	0	0
M469	FALSE	none	TRUE	1	0	1	0	0
M470	TRUE	moderate	FALSE	0	0	0	0	0
M471	FALSE	none	FALSE	0	0	0	0	0
M472	FALSE	none	TRUE	2	1	0	0	1
M473	TRUE	moderate	FALSE	0	0	0	0	0
M474	FALSE	none	TRUE	1	0	0	1	0
M475	TRUE	moderate	FALSE	0	0	0	0	0
M476	FALSE	none	TRUE	3	3	0	0	0
M477	TRUE	moderate	TRUE	4	3	0	0	1
M478	TRUE	moderate	FALSE	0	0	0	0	0
M479	TRUE	moderate	FALSE	0	0	0	0	0
M480	TRUE	moderate	TRUE	3	0	3	0	0
M481	TRUE	moderate	TRUE	3	0	2	1	0
M482	TRUE	moderate	FALSE	0	0	0	0	0
M483	TRUE	moderate	FALSE	0	0	0	0	0
M484	TRUE	moderate	FALSE	0	0	0	0	0
M485	TRUE	moderate	TRUE	2	0	1	0	1
M486	TRUE	moderate	FALSE	0	0	0	0	0
M487	FALSE	none	TRUE	2	0	2	0	0
M488	TRUE	moderate	FALSE	0	0	0	0	0
M489	TRUE	moderate	TRUE	5	2	3	0	0
M490	FALSE	none	FALSE	0	0	0	0	0
M491	TRUE	moderate	TRUE	2	0	0	1	1
M492	TRUE	moderate	TRUE	4	2	2	0	0
M493	TRUE	moderate	FALSE	0	0	0	0	0
M494	TRUE	moderate	TRUE	1	0	0	1	0
M495	FALSE	none	TRUE	4	1	0	1	2
M496	FALSE	none	FALSE	0	0	0	0	0
M497	FALSE	none	TRUE	4	1	2	1	0
M498	FALSE	none	TRUE	2	0	1	1	0
M499	TRUE	moderate	FALSE	0	0	0	0	0
M500	TRUE	moderate	FALSE	0	0	0	0	0
M501	TRUE	moderate	TRUE	4	1	1	0	2
M502	FALSE	none	TRUE	2	0	1	0	1
M503	FALSE	none	TRUE	2	2	0	0	0
M504	FALSE	none	TRUE	1	0	1	0	0
M505	FALSE	none	FALSE	0	0	0	0	0
M506	TRUE	moderate	TRUE	2	0	1	0	1
M507	TRUE	moderate	TRUE	3	1	1	1	0
M508	FALSE	none	TRUE	3	1	1	0	1
M509	TRUE	moderate	FALSE	0	0	0	0	0
M510	TRUE	strong	TRUE	3	1	0	0	2
M511	FALSE	none	TRUE	1	0	1	0	0
M512	TRUE	strong	TRUE	3	1	1	0	1
M513	TRUE	moderate	FALSE	0	0	0	0	0
M514	FALSE	none	TRUE	4	2	0	1	1
M515	TRUE	moderate	TRUE	3	2	0	1	0
M516	TRUE	moderate	TRUE	1	1	0	0	0
M517	TRUE	moderate	TRUE	1	0	0	0	1
M518	TRUE	moderate	FALSE	0	0	0	0	0
M519	TRUE	strong	TRUE	2	1	1	0	0
M520	TRUE	moderate	TRUE	3	2	1	0	0
M521	TRUE	moderate	TRUE	1	0	1	0	0
M522	FALSE	none	FALSE	0	0	0	0	0
M523	TRUE	moderate	TRUE	3	1	1	1	0
M524	TRUE	moderate	FALSE	0	0	0	0	0
