"dataset","seed_id","seed","sample_id","batch","run_order","within_batch_order","reference_type","assignment","exposed_as_control","member_injection_ids"
"simulation","SPLIT02",202608002,"S221","P3",221,21,"simulated_control","hidden",FALSE,"S221"
"simulation","SPLIT02",202608002,"S231","P3",231,31,"simulated_control","training",TRUE,"S231"
"simulation","SPLIT02",202608002,"S241","P3",241,41,"simulated_control","training",TRUE,"S241"
"simulation","SPLIT02",202608002,"S251","P3",251,51,"simulated_control","hidden",FALSE,"S251"
"simulation","SPLIT02",202608002,"S261","P3",261,61,"simulated_control","training",TRUE,"S261"
"simulation","SPLIT02",202608002,"S271","P3",271,71,"simulated_control","training",TRUE,"S271"
"simulation","SPLIT02",202608002,"S281","P3",281,81,"simulated_control","training",TRUE,"S281"
"simulation","SPLIT02",202608002,"S291","P3",291,91,"simulated_control","training",TRUE,"S291"
"simulation","SPLIT02",202608002,"S301","P4",301,1,"simulated_control","training",TRUE,"S301"
"simulation","SPLIT02",202608002,"S311","P4",311,11,"simulated_control","training",TRUE,"S311"
"simulation","SPLIT02",202608002,"S321","P4",321,21,"simulated_control","training",TRUE,"S321"
"simulation","SPLIT02",202608002,"S331","P4",331,31,"simulated_control","training",TRUE,"S331"
"simulation","SPLIT02",202608002,"S341","P4",341,41,"simulated_control","training",TRUE,"S341"
"simulation","SPLIT02",202608002,"S351","P4",351,51,"simulated_control","training",TRUE,"S351"
"simulation","SPLIT02",202608002,"S361","P4",361,61,"simulated_control","training",TRUE,"S361"
"simulation","SPLIT02",202608002,"S371","P4",371,71,"simulated_control","hidden",FALSE,"S371"
"simulation","SPLIT02",202608002,"S381","P4",381,81,"simulated_control","hidden",FALSE,"S381"
"simulation","SPLIT02",202608002,"S391","P4",391,91,"simulated_control","training",TRUE,"S391"
"simulation","SPLIT02",202608002,"S401","P5",401,1,"simulated_control","training",TRUE,"S401"
"simulation","SPLIT02",202608002,"S411","P5",411,11,"simulated_control","hidden",FALSE,"S411"
"simulation","SPLIT02",202608002,"S421","P5",421,21,"simulated_control","training",TRUE,"S421"
"simulation","SPLIT02",202608002,"S431","P5",431,31,"simulated_control","training",TRUE,"S431"
"simulation","SPLIT02",202608002,"S441","P5",441,41,"simulated_control","training",TRUE,"S441"
"simulation","SPLIT02",202608002,"S451","P5",451,51,"simulated_control","training",TRUE,"S451"
"simulation","SPLIT02",202608002,"S461","P5",461,61,"simulated_control","training",TRUE,"S461"
"simulation","SPLIT02",202608002,"S471","P5",471,71,"simulated_control","training",TRUE,"S471"
"simulation","SPLIT02",202608002,"S481","P5",481,81,"simulated_control","training",TRUE,"S481"
"simulation","SPLIT02",202608002,"S491","P5",491,91,"simulated_control","hidden",FALSE,"S491"
"simulation","SPLIT03",202608003,"S001","P1",1,1,"simulated_control","training",TRUE,"S001"
"simulation","SPLIT03",202608003,"S011","P1",11,11,"simulated_control","training",TRUE,"S011"
"simulation","SPLIT03",202608003,"S021","P1",21,21,"simulated_control","training",TRUE,"S021"
"simulation","SPLIT03",202608003,"S031","P1",31,31,"simulated_control","training",TRUE,"S031"
"simulation","SPLIT03",202608003,"S041","P1",41,41,"simulated_control","hidden",FALSE,"S041"
"simulation","SPLIT03",202608003,"S051","P1",51,51,"simulated_control","training",TRUE,"S051"
"simulation","SPLIT03",202608003,"S061","P1",61,61,"simulated_control","training",TRUE,"S061"
"simulation","SPLIT03",202608003,"S071","P1",71,71,"simulated_control","training",TRUE,"S071"
"simulation","SPLIT03",202608003,"S081","P1",81,81,"simulated_control","hidden",FALSE,"S081"
"simulation","SPLIT03",202608003,"S091","P1",91,91,"simulated_control","training",TRUE,"S091"
"simulation","SPLIT03",202608003,"S101","P2",101,1,"simulated_control","training",TRUE,"S101"
"simulation","SPLIT03",202608003,"S111","P2",111,11,"simulated_control","hidden",FALSE,"S111"
"simulation","SPLIT03",202608003,"S121","P2",121,21,"simulated_control","training",TRUE,"S121"
"simulation","SPLIT03",202608003,"S131","P2",131,31,"simulated_control","training",TRUE,"S131"
"simulation","SPLIT03",202608003,"S141","P2",141,41,"simulated_control","hidden",FALSE,"S141"
"simulation","SPLIT03",202608003,"S151","P2",151,51,"simulated_control","training",TRUE,"S151"
"simulation","SPLIT03",202608003,"S161","P2",161,61,"simulated_control","training",TRUE,"S161"
"simulation","SPLIT03",202608003,"S171","P2",171,71,"simulated_control","training",TRUE,"S171"
"simulation","SPLIT03",202608003,"S181","P2",181,81,"simulated_control","training",TRUE,"S181"
"simulation","SPLIT03",202608003,"S191","P2",191,91,"simulated_control","training",TRUE,"S191"
"simulation","SPLIT03",202608003,"S201","P3",201,1,"simulated_control","hidden",FALSE,"S201"
"simulation","SPLIT03",202608003,"S211","P3",211,11,"simulated_control","training",TRUE,"S211"
"simulation","SPLIT03",202608003,"S221","P3",221,21,"simulated_control","training",TRUE,"S221"
"simulation","SPLIT03",202608003,"S231","P3",231,31,"simulated_control","training",TRUE,"S231"
"simulation","SPLIT03",202608003,"S241","P3",241,41,"simulated_control","training",TRUE,"S241"
"simulation","SPLIT03",202608003,"S251","P3",251,51,"simulated_control","training",TRUE,"S251"
"simulation","SPLIT03",202608003,"S261","P3",261,61,"simulated_control","hidden",FALSE,"S261"
"simulation","SPLIT03",202608003,"S271","P3",271,71,"simulated_control","training",TRUE,"S271"
"simulation","SPLIT03",202608003,"S281","P3",281,81,"simulated_control","training",TRUE,"S281"
"simulation","SPLIT03",202608003,"S291","P3",291,91,"simulated_control","training",TRUE,"S291"
"simulation","SPLIT03",202608003,"S301","P4",301,1,"simulated_control","hidden",FALSE,"S301"
"simulation","SPLIT03",202608003,"S311","P4",311,11,"simulated_control","training",TRUE,"S311"
"simulation","SPLIT03",202608003,"S321","P4",321,21,"simulated_control","training",TRUE,"S321"
"simulation","SPLIT03",202608003,"S331","P4",331,31,"simulated_control","training",TRUE,"S331"
"simulation","SPLIT03",202608003,"S341","P4",341,41,"simulated_control","training",TRUE,"S341"
"simulation","SPLIT03",202608003,"S351","P4",351,51,"simulated_control","training",TRUE,"S351"
"simulation","SPLIT03",202608003,"S361","P4",361,61,"simulated_control","hidden",FALSE,"S361"
"simulation","SPLIT03",202608003,"S371","P4",371,71,"simulated_control","training",TRUE,"S371"
"simulation","SPLIT03",202608003,"S381","P4",381,81,"simulated_control","training",TRUE,"S381"
"simulation","SPLIT03",202608003,"S391","P4",391,91,"simulated_control","training",TRUE,"S391"
"simulation","SPLIT03",202608003,"S401","P5",401,1,"simulated_control","training",TRUE,"S401"
"simulation","SPLIT03",202608003,"S411","P5",411,11,"simulated_control","training",TRUE,"S411"
"simulation","SPLIT03",202608003,"S421","P5",421,21,"simulated_control","training",TRUE,"S421"
"simulation","SPLIT03",202608003,"S431","P5",431,31,"simulated_control","hidden",FALSE,"S431"
"simulation","SPLIT03",202608003,"S441","P5",441,41,"simulated_control","training",TRUE,"S441"
"simulation","SPLIT03",202608003,"S451","P5",451,51,"simulated_control","training",TRUE,"S451"
"simulation","SPLIT03",202608003,"S461","P5",461,61,"simulated_control","training",TRUE,"S461"
"simulation","SPLIT03",202608003,"S471","P5",471,71,"simulated_control","training",TRUE,"S471"
"simulation","SPLIT03",202608003,"S481","P5",481,81,"simulated_control","hidden",FALSE,"S481"
"simulation","SPLIT03",202608003,"S491","P5",491,91,"simulated_control","training",TRUE,"S491"
"simulation","SPLIT04",202608004,"S001","P1",1,1,"simulated_control","training",TRUE,"S001"
"simulation","SPLIT04",202608004,"S011","P1",11,11,"simulated_control","training",TRUE,"S011"
"simulation","SPLIT04",202608004,"S021","P1",21,21,"simulated_control","training",TRUE,"S021"
"simulation","SPLIT04",202608004,"S031","P1",31,31,"simulated_control","training",TRUE,"S031"
"simulation","SPLIT04",202608004,"S041","P1",41,41,"simulated_control","training",TRUE,"S041"
"simulation","SPLIT04",202608004,"S051","P1",51,51,"simulated_control","hidden",FALSE,"S051"
"simulation","SPLIT04",202608004,"S061","P1",61,61,"simulated_control","training",TRUE,"S061"
"simulation","SPLIT04",202608004,"S071","P1",71,71,"simulated_control","hidden",FALSE,"S071"
"simulation","SPLIT04",202608004,"S081","P1",81,81,"simulated_control","training",TRUE,"S081"
"simulation","SPLIT04",202608004,"S091","P1",91,91,"simulated_control","training",TRUE,"S091"
"simulation","SPLIT04",202608004,"S101","P2",101,1,"simulated_control","training",TRUE,"S101"
"simulation","SPLIT04",202608004,"S111","P2",111,11,"simulated_control","training",TRUE,"S111"
"simulation","SPLIT04",202608004,"S121","P2",121,21,"simulated_control","training",TRUE,"S121"
"simulation","SPLIT04",202608004,"S131","P2",131,31,"simulated_control","hidden",FALSE,"S131"
"simulation","SPLIT04",202608004,"S141","P2",141,41,"simulated_control","hidden",FALSE,"S141"
"simulation","SPLIT04",202608004,"S151","P2",151,51,"simulated_control","training",TRUE,"S151"
"simulation","SPLIT04",202608004,"S161","P2",161,61,"simulated_control","training",TRUE,"S161"
"simulation","SPLIT04",202608004,"S171","P2",171,71,"simulated_control","training",TRUE,"S171"
"simulation","SPLIT04",202608004,"S181","P2",181,81,"simulated_control","training",TRUE,"S181"
"simulation","SPLIT04",202608004,"S191","P2",191,91,"simulated_control","training",TRUE,"S191"
"simulation","SPLIT04",202608004,"S201","P3",201,1,"simulated_control","training",TRUE,"S201"
"simulation","SPLIT04",202608004,"S211","P3",211,11,"simulated_control","training",TRUE,"S211"
"simulation","SPLIT04",202608004,"S221","P3",221,21,"simulated_control","training",TRUE,"S221"
"simulation","SPLIT04",202608004,"S231","P3",231,31,"simulated_control","training",TRUE,"S231"
"simulation","SPLIT04",202608004,"S241","P3",241,41,"simulated_control","hidden",FALSE,"S241"
"simulation","SPLIT04",202608004,"S251","P3",251,51,"simulated_control","training",TRUE,"S251"
"simulation","SPLIT04",202608004,"S261","P3",261,61,"simulated_control","training",TRUE,"S261"
"simulation","SPLIT04",202608004,"S271","P3",271,71,"simulated_control","training",TRUE,"S271"
"simulation","SPLIT04",202608004,"S281","P3",281,81,"simulated_control","training",TRUE,"S281"
"simulation","SPLIT04",202608004,"S291","P3",291,91,"simulated_control","hidden",FALSE,"S291"
"simulation","SPLIT04",202608004,"S301","P4",301,1,"simulated_control","hidden",FALSE,"S301"
"simulation","SPLIT04",202608004,"S311","P4",311,11,"simulated_control","training",TRUE,"S311"
"simulation","SPLIT04",202608004,"S321","P4",321,21,"simulated_control","hidden",FALSE,"S321"
"simulation","SPLIT04",202608004,"S331","P4",331,31,"simulated_control","training",TRUE,"S331"
"simulation","SPLIT04",202608004,"S341","P4",341,41,"simulated_control","training",TRUE,"S341"
"simulation","SPLIT04",202608004,"S351","P4",351,51,"simulated_control","training",TRUE,"S351"
"simulation","SPLIT04",202608004,"S361","P4",361,61,"simulated_control","training",TRUE,"S361"
"simulation","SPLIT04",202608004,"S371","P4",371,71,"simulated_control","training",TRUE,"S371"
"simulation","SPLIT04",202608004,"S381","P4",381,81,"simulated_control","training",TRUE,"S381"
"simulation","SPLIT04",202608004,"S391","P4",391,91,"simulated_control","training",TRUE,"S391"
"simulation","SPLIT04",202608004,"S401","P5",401,1,"simulated_control","training",TRUE,"S401"
"simulation","SPLIT04",202608004,"S411","P5",411,11,"simulated_control","training",TRUE,"S411"
"simulation","SPLIT04",202608004,"S421","P5",421,21,"simulated_control","training",TRUE,"S421"
"simulation","SPLIT04",202608004,"S431","P5",431,31,"simulated_control","training",TRUE,"S431"
"simulation","SPLIT04",202608004,"S441","P5",441,41,"simulated_control","hidden",FALSE,"S441"
"simulation","SPLIT04",202608004,"S451","P5",451,51,"simulated_control","training",TRUE,"S451"
"simulation","SPLIT04",202608004,"S461","P5",461,61,"simulated_control","training",TRUE,"S461"
"simulation","SPLIT04",202608004,"S471","P5",471,71,"simulated_control","training",TRUE,"S471"
"simulation","SPLIT04",202608004,"S481","P5",481,81,"simulated_control","training",TRUE,"S481"
"simulation","SPLIT04",202608004,"S491","P5",491,91,"simulated_control","hidden",FALSE,"S491"
"simulation","SPLIT05",202608005,"S001","P1",1,1,"simulated_control","training",TRUE,"S001"
"simulation","SPLIT05",202608005,"S011","P1",11,11,"simulated_control","training",TRUE,"S011"
"simulation","SPLIT05",202608005,"S021","P1",21,21,"simulated_control","training",TRUE,"S021"
"simulation","SPLIT05",202608005,"S031","P1",31,31,"simulated_control","training",TRUE,"S031"
"simulation","SPLIT05",202608005,"S041","P1",41,41,"simulated_control","training",TRUE,"S041"
"simulation","SPLIT05",202608005,"S051","P1",51,51,"simulated_control","training",TRUE,"S051"
"simulation","SPLIT05",202608005,"S061","P1",61,61,"simulated_control","hidden",FALSE,"S061"
"simulation","SPLIT05",202608005,"S071","P1",71,71,"simulated_control","training",TRUE,"S071"
"simulation","SPLIT05",202608005,"S081","P1",81,81,"simulated_control","training",TRUE,"S081"
"simulation","SPLIT05",202608005,"S091","P1",91,91,"simulated_control","hidden",FALSE,"S091"
"simulation","SPLIT05",202608005,"S101","P2",101,1,"simulated_control","training",TRUE,"S101"
"simulation","SPLIT05",202608005,"S111","P2",111,11,"simulated_control","training",TRUE,"S111"
"simulation","SPLIT05",202608005,"S121","P2",121,21,"simulated_control","training",TRUE,"S121"
"simulation","SPLIT05",202608005,"S131","P2",131,31,"simulated_control","hidden",FALSE,"S131"
"simulation","SPLIT05",202608005,"S141","P2",141,41,"simulated_control","training",TRUE,"S141"
"simulation","SPLIT05",202608005,"S151","P2",151,51,"simulated_control","training",TRUE,"S151"
"simulation","SPLIT05",202608005,"S161","P2",161,61,"simulated_control","training",TRUE,"S161"
"simulation","SPLIT05",202608005,"S171","P2",171,71,"simulated_control","training",TRUE,"S171"
"simulation","SPLIT05",202608005,"S181","P2",181,81,"simulated_control","training",TRUE,"S181"
"simulation","SPLIT05",202608005,"S191","P2",191,91,"simulated_control","hidden",FALSE,"S191"
"simulation","SPLIT05",202608005,"S201","P3",201,1,"simulated_control","training",TRUE,"S201"
"simulation","SPLIT05",202608005,"S211","P3",211,11,"simulated_control","hidden",FALSE,"S211"
"simulation","SPLIT05",202608005,"S221","P3",221,21,"simulated_control","training",TRUE,"S221"
"simulation","SPLIT05",202608005,"S231","P3",231,31,"simulated_control","training",TRUE,"S231"
"simulation","SPLIT05",202608005,"S241","P3",241,41,"simulated_control","training",TRUE,"S241"
"simulation","SPLIT05",202608005,"S251","P3",251,51,"simulated_control","training",TRUE,"S251"
"simulation","SPLIT05",202608005,"S261","P3",261,61,"simulated_control","training",TRUE,"S261"
"simulation","SPLIT05",202608005,"S271","P3",271,71,"simulated_control","hidden",FALSE,"S271"
"simulation","SPLIT05",202608005,"S281","P3",281,81,"simulated_control","training",TRUE,"S281"
"simulation","SPLIT05",202608005,"S291","P3",291,91,"simulated_control","training",TRUE,"S291"
"simulation","SPLIT05",202608005,"S301","P4",301,1,"simulated_control","hidden",FALSE,"S301"
"simulation","SPLIT05",202608005,"S311","P4",311,11,"simulated_control","training",TRUE,"S311"
"simulation","SPLIT05",202608005,"S321","P4",321,21,"simulated_control","training",TRUE,"S321"
"simulation","SPLIT05",202608005,"S331","P4",331,31,"simulated_control","training",TRUE,"S331"
"simulation","SPLIT05",202608005,"S341","P4",341,41,"simulated_control","training",TRUE,"S341"
"simulation","SPLIT05",202608005,"S351","P4",351,51,"simulated_control","training",TRUE,"S351"
"simulation","SPLIT05",202608005,"S361","P4",361,61,"simulated_control","training",TRUE,"S361"
"simulation","SPLIT05",202608005,"S371","P4",371,71,"simulated_control","training",TRUE,"S371"
"simulation","SPLIT05",202608005,"S381","P4",381,81,"simulated_control","hidden",FALSE,"S381"
"simulation","SPLIT05",202608005,"S391","P4",391,91,"simulated_control","training",TRUE,"S391"
"simulation","SPLIT05",202608005,"S401","P5",401,1,"simulated_control","training",TRUE,"S401"
"simulation","SPLIT05",202608005,"S411","P5",411,11,"simulated_control","training",TRUE,"S411"
"simulation","SPLIT05",202608005,"S421","P5",421,21,"simulated_control","training",TRUE,"S421"
"simulation","SPLIT05",202608005,"S431","P5",431,31,"simulated_control","training",TRUE,"S431"
"simulation","SPLIT05",202608005,"S441","P5",441,41,"simulated_control","training",TRUE,"S441"
"simulation","SPLIT05",202608005,"S451","P5",451,51,"simulated_control","hidden",FALSE,"S451"
"simulation","SPLIT05",202608005,"S461","P5",461,61,"simulated_control","training",TRUE,"S461"
"simulation","SPLIT05",202608005,"S471","P5",471,71,"simulated_control","training",TRUE,"S471"
"simulation","SPLIT05",202608005,"S481","P5",481,81,"simulated_control","training",TRUE,"S481"
"simulation","SPLIT05",202608005,"S491","P5",491,91,"simulated_control","hidden",FALSE,"S491"
"simulation","SPLIT06",202608006,"S001","P1",1,1,"simulated_control","training",TRUE,"S001"
"simulation","SPLIT06",202608006,"S011","P1",11,11,"simulated_control","training",TRUE,"S011"
"simulation","SPLIT06",202608006,"S021","P1",21,21,"simulated_control","training",TRUE,"S021"
"simulation","SPLIT06",202608006,"S031","P1",31,31,"simulated_control","training",TRUE,"S031"
"simulation","SPLIT06",202608006,"S041","P1",41,41,"simulated_control","hidden",FALSE,"S041"
"simulation","SPLIT06",202608006,"S051","P1",51,51,"simulated_control","training",TRUE,"S051"
"simulation","SPLIT06",202608006,"S061","P1",61,61,"simulated_control","training",TRUE,"S061"
"simulation","SPLIT06",202608006,"S071","P1",71,71,"simulated_control","hidden",FALSE,"S071"
"simulation","SPLIT06",202608006,"S081","P1",81,81,"simulated_control","training",TRUE,"S081"
"simulation","SPLIT06",202608006,"S091","P1",91,91,"simulated_control","training",TRUE,"S091"
"simulation","SPLIT06",202608006,"S101","P2",101,1,"simulated_control","training",TRUE,"S101"
"simulation","SPLIT06",202608006,"S111","P2",111,11,"simulated_control","training",TRUE,"S111"
"simulation","SPLIT06",202608006,"S121","P2",121,21,"simulated_control","training",TRUE,"S121"
"simulation","SPLIT06",202608006,"S131","P2",131,31,"simulated_control","training",TRUE,"S131"
"simulation","SPLIT06",202608006,"S141","P2",141,41,"simulated_control","training",TRUE,"S141"
"simulation","SPLIT06",202608006,"S151","P2",151,51,"simulated_control","training",TRUE,"S151"
"simulation","SPLIT06",202608006,"S161","P2",161,61,"simulated_control","training",TRUE,"S161"
"simulation","SPLIT06",202608006,"S171","P2",171,71,"simulated_control","training",TRUE,"S171"
"simulation","SPLIT06",202608006,"S181","P2",181,81,"simulated_control","hidden",FALSE,"S181"
"simulation","SPLIT06",202608006,"S191","P2",191,91,"simulated_control","hidden",FALSE,"S191"
"simulation","SPLIT06",202608006,"S201","P3",201,1,"simulated_control","training",TRUE,"S201"
"simulation","SPLIT06",202608006,"S211","P3",211,11,"simulated_control","training",TRUE,"S211"
"simulation","SPLIT06",202608006,"S221","P3",221,21,"simulated_control","training",TRUE,"S221"
"simulation","SPLIT06",202608006,"S231","P3",231,31,"simulated_control","training",TRUE,"S231"
"simulation","SPLIT06",202608006,"S241","P3",241,41,"simulated_control","hidden",FALSE,"S241"
"simulation","SPLIT06",202608006,"S251","P3",251,51,"simulated_control","hidden",FALSE,"S251"
"simulation","SPLIT06",202608006,"S261","P3",261,61,"simulated_control","training",TRUE,"S261"
"simulation","SPLIT06",202608006,"S271","P3",271,71,"simulated_control","training",TRUE,"S271"
"simulation","SPLIT06",202608006,"S281","P3",281,81,"simulated_control","training",TRUE,"S281"
"simulation","SPLIT06",202608006,"S291","P3",291,91,"simulated_control","training",TRUE,"S291"
"simulation","SPLIT06",202608006,"S301","P4",301,1,"simulated_control","hidden",FALSE,"S301"
"simulation","SPLIT06",202608006,"S311","P4",311,11,"simulated_control","training",TRUE,"S311"
"simulation","SPLIT06",202608006,"S321","P4",321,21,"simulated_control","training",TRUE,"S321"
"simulation","SPLIT06",202608006,"S331","P4",331,31,"simulated_control","training",TRUE,"S331"
"simulation","SPLIT06",202608006,"S341","P4",341,41,"simulated_control","training",TRUE,"S341"
"simulation","SPLIT06",202608006,"S351","P4",351,51,"simulated_control","training",TRUE,"S351"
"simulation","SPLIT06",202608006,"S361","P4",361,61,"simulated_control","training",TRUE,"S361"
"simulation","SPLIT06",202608006,"S371","P4",371,71,"simulated_control","hidden",FALSE,"S371"
"simulation","SPLIT06",202608006,"S381","P4",381,81,"simulated_control","training",TRUE,"S381"
"simulation","SPLIT06",202608006,"S391","P4",391,91,"simulated_control","training",TRUE,"S391"
"simulation","SPLIT06",202608006,"S401","P5",401,1,"simulated_control","training",TRUE,"S401"
"simulation","SPLIT06",202608006,"S411","P5",411,11,"simulated_control","training",TRUE,"S411"
"simulation","SPLIT06",202608006,"S421","P5",421,21,"simulated_control","hidden",FALSE,"S421"
"simulation","SPLIT06",202608006,"S431","P5",431,31,"simulated_control","hidden",FALSE,"S431"
"simulation","SPLIT06",202608006,"S441","P5",441,41,"simulated_control","training",TRUE,"S441"
"simulation","SPLIT06",202608006,"S451","P5",451,51,"simulated_control","training",TRUE,"S451"
"simulation","SPLIT06",202608006,"S461","P5",461,61,"simulated_control","training",TRUE,"S461"
"simulation","SPLIT06",202608006,"S471","P5",471,71,"simulated_control","training",TRUE,"S471"
"simulation","SPLIT06",202608006,"S481","P5",481,81,"simulated_control","training",TRUE,"S481"
