"sample_id","plate","order_in_plate","run_order","sample_type","batch","within_batch_order","class","is_qc","is_hidden_reference","reference_role"
"S026","P1",26,26,"sample","P1",26,"Study",FALSE,FALSE,"not_a_control"
"S027","P1",27,27,"sample","P1",27,"Study",FALSE,FALSE,"not_a_control"
"S028","P1",28,28,"sample","P1",28,"Study",FALSE,FALSE,"not_a_control"
"S029","P1",29,29,"sample","P1",29,"Study",FALSE,FALSE,"not_a_control"
"S030","P1",30,30,"sample","P1",30,"Study",FALSE,FALSE,"not_a_control"
"S031","P1",31,31,"control","P1",31,"QC",TRUE,TRUE,"hidden_test"
"S032","P1",32,32,"sample","P1",32,"Study",FALSE,FALSE,"not_a_control"
"S033","P1",33,33,"sample","P1",33,"Study",FALSE,FALSE,"not_a_control"
"S034","P1",34,34,"sample","P1",34,"Study",FALSE,FALSE,"not_a_control"
"S035","P1",35,35,"sample","P1",35,"Study",FALSE,FALSE,"not_a_control"
"S036","P1",36,36,"sample","P1",36,"Study",FALSE,FALSE,"not_a_control"
"S037","P1",37,37,"sample","P1",37,"Study",FALSE,FALSE,"not_a_control"
"S038","P1",38,38,"sample","P1",38,"Study",FALSE,FALSE,"not_a_control"
"S039","P1",39,39,"sample","P1",39,"Study",FALSE,FALSE,"not_a_control"
"S040","P1",40,40,"sample","P1",40,"Study",FALSE,FALSE,"not_a_control"
"S041","P1",41,41,"control","P1",41,"QC",TRUE,TRUE,"hidden_test"
"S042","P1",42,42,"sample","P1",42,"Study",FALSE,FALSE,"not_a_control"
"S043","P1",43,43,"sample","P1",43,"Study",FALSE,FALSE,"not_a_control"
"S044","P1",44,44,"sample","P1",44,"Study",FALSE,FALSE,"not_a_control"
"S045","P1",45,45,"sample","P1",45,"Study",FALSE,FALSE,"not_a_control"
"S046","P1",46,46,"sample","P1",46,"Study",FALSE,FALSE,"not_a_control"
"S047","P1",47,47,"sample","P1",47,"Study",FALSE,FALSE,"not_a_control"
"S048","P1",48,48,"sample","P1",48,"Study",FALSE,FALSE,"not_a_control"
"S049","P1",49,49,"sample","P1",49,"Study",FALSE,FALSE,"not_a_control"
"S050","P1",50,50,"sample","P1",50,"Study",FALSE,FALSE,"not_a_control"
"S051","P1",51,51,"control","P1",51,"QC",TRUE,FALSE,"training_control"
"S052","P1",52,52,"sample","P1",52,"Study",FALSE,FALSE,"not_a_control"
"S053","P1",53,53,"sample","P1",53,"Study",FALSE,FALSE,"not_a_control"
"S054","P1",54,54,"sample","P1",54,"Study",FALSE,FALSE,"not_a_control"
"S055","P1",55,55,"sample","P1",55,"Study",FALSE,FALSE,"not_a_control"
"S056","P1",56,56,"sample","P1",56,"Study",FALSE,FALSE,"not_a_control"
"S057","P1",57,57,"sample","P1",57,"Study",FALSE,FALSE,"not_a_control"
"S058","P1",58,58,"sample","P1",58,"Study",FALSE,FALSE,"not_a_control"
"S059","P1",59,59,"sample","P1",59,"Study",FALSE,FALSE,"not_a_control"
"S060","P1",60,60,"sample","P1",60,"Study",FALSE,FALSE,"not_a_control"
"S061","P1",61,61,"control","P1",61,"QC",TRUE,FALSE,"training_control"
"S062","P1",62,62,"sample","P1",62,"Study",FALSE,FALSE,"not_a_control"
"S063","P1",63,63,"sample","P1",63,"Study",FALSE,FALSE,"not_a_control"
"S064","P1",64,64,"sample","P1",64,"Study",FALSE,FALSE,"not_a_control"
"S065","P1",65,65,"sample","P1",65,"Study",FALSE,FALSE,"not_a_control"
"S066","P1",66,66,"sample","P1",66,"Study",FALSE,FALSE,"not_a_control"
"S067","P1",67,67,"sample","P1",67,"Study",FALSE,FALSE,"not_a_control"
"S068","P1",68,68,"sample","P1",68,"Study",FALSE,FALSE,"not_a_control"
"S069","P1",69,69,"sample","P1",69,"Study",FALSE,FALSE,"not_a_control"
"S070","P1",70,70,"sample","P1",70,"Study",FALSE,FALSE,"not_a_control"
"S071","P1",71,71,"control","P1",71,"QC",TRUE,FALSE,"training_control"
"S072","P1",72,72,"sample","P1",72,"Study",FALSE,FALSE,"not_a_control"
"S073","P1",73,73,"sample","P1",73,"Study",FALSE,FALSE,"not_a_control"
"S074","P1",74,74,"sample","P1",74,"Study",FALSE,FALSE,"not_a_control"
"S075","P1",75,75,"sample","P1",75,"Study",FALSE,FALSE,"not_a_control"
"S076","P1",76,76,"sample","P1",76,"Study",FALSE,FALSE,"not_a_control"
"S077","P1",77,77,"sample","P1",77,"Study",FALSE,FALSE,"not_a_control"
"S078","P1",78,78,"sample","P1",78,"Study",FALSE,FALSE,"not_a_control"
"S079","P1",79,79,"sample","P1",79,"Study",FALSE,FALSE,"not_a_control"
"S080","P1",80,80,"sample","P1",80,"Study",FALSE,FALSE,"not_a_control"
"S081","P1",81,81,"control","P1",81,"QC",TRUE,FALSE,"training_control"
"S082","P1",82,82,"sample","P1",82,"Study",FALSE,FALSE,"not_a_control"
"S083","P1",83,83,"sample","P1",83,"Study",FALSE,FALSE,"not_a_control"
"S084","P1",84,84,"sample","P1",84,"Study",FALSE,FALSE,"not_a_control"
"S085","P1",85,85,"sample","P1",85,"Study",FALSE,FALSE,"not_a_control"
"S086","P1",86,86,"sample","P1",86,"Study",FALSE,FALSE,"not_a_control"
"S087","P1",87,87,"sample","P1",87,"Study",FALSE,FALSE,"not_a_control"
"S088","P1",88,88,"sample","P1",88,"Study",FALSE,FALSE,"not_a_control"
"S089","P1",89,89,"sample","P1",89,"Study",FALSE,FALSE,"not_a_control"
"S090","P1",90,90,"sample","P1",90,"Study",FALSE,FALSE,"not_a_control"
"S091","P1",91,91,"control","P1",91,"QC",TRUE,FALSE,"training_control"
"S092","P1",92,92,"sample","P1",92,"Study",FALSE,FALSE,"not_a_control"
"S093","P1",93,93,"sample","P1",93,"Study",FALSE,FALSE,"not_a_control"
"S094","P1",94,94,"sample","P1",94,"Study",FALSE,FALSE,"not_a_control"
"S095","P1",95,95,"sample","P1",95,"Study",FALSE,FALSE,"not_a_control"
"S096","P1",96,96,"sample","P1",96,"Study",FALSE,FALSE,"not_a_control"
"S097","P1",97,97,"sample","P1",97,"Study",FALSE,FALSE,"not_a_control"
"S098","P1",98,98,"sample","P1",98,"Study",FALSE,FALSE,"not_a_control"
"S099","P1",99,99,"sample","P1",99,"Study",FALSE,FALSE,"not_a_control"
"S100","P1",100,100,"sample","P1",100,"Study",FALSE,FALSE,"not_a_control"
"S101","P2",1,101,"control","P2",1,"QC",TRUE,FALSE,"training_control"
"S102","P2",2,102,"sample","P2",2,"Study",FALSE,FALSE,"not_a_control"
"S103","P2",3,103,"sample","P2",3,"Study",FALSE,FALSE,"not_a_control"
"S104","P2",4,104,"sample","P2",4,"Study",FALSE,FALSE,"not_a_control"
"S105","P2",5,105,"sample","P2",5,"Study",FALSE,FALSE,"not_a_control"
"S106","P2",6,106,"sample","P2",6,"Study",FALSE,FALSE,"not_a_control"
"S107","P2",7,107,"sample","P2",7,"Study",FALSE,FALSE,"not_a_control"
"S108","P2",8,108,"sample","P2",8,"Study",FALSE,FALSE,"not_a_control"
"S109","P2",9,109,"sample","P2",9,"Study",FALSE,FALSE,"not_a_control"
"S110","P2",10,110,"sample","P2",10,"Study",FALSE,FALSE,"not_a_control"
"S111","P2",11,111,"control","P2",11,"QC",TRUE,FALSE,"training_control"
"S112","P2",12,112,"sample","P2",12,"Study",FALSE,FALSE,"not_a_control"
"S113","P2",13,113,"sample","P2",13,"Study",FALSE,FALSE,"not_a_control"
"S114","P2",14,114,"sample","P2",14,"Study",FALSE,FALSE,"not_a_control"
"S115","P2",15,115,"sample","P2",15,"Study",FALSE,FALSE,"not_a_control"
"S116","P2",16,116,"sample","P2",16,"Study",FALSE,FALSE,"not_a_control"
"S117","P2",17,117,"sample","P2",17,"Study",FALSE,FALSE,"not_a_control"
"S118","P2",18,118,"sample","P2",18,"Study",FALSE,FALSE,"not_a_control"
"S119","P2",19,119,"sample","P2",19,"Study",FALSE,FALSE,"not_a_control"
"S120","P2",20,120,"sample","P2",20,"Study",FALSE,FALSE,"not_a_control"
"S121","P2",21,121,"control","P2",21,"QC",TRUE,FALSE,"training_control"
"S122","P2",22,122,"sample","P2",22,"Study",FALSE,FALSE,"not_a_control"
"S123","P2",23,123,"sample","P2",23,"Study",FALSE,FALSE,"not_a_control"
"S124","P2",24,124,"sample","P2",24,"Study",FALSE,FALSE,"not_a_control"
"S125","P2",25,125,"sample","P2",25,"Study",FALSE,FALSE,"not_a_control"
"S126","P2",26,126,"sample","P2",26,"Study",FALSE,FALSE,"not_a_control"
"S127","P2",27,127,"sample","P2",27,"Study",FALSE,FALSE,"not_a_control"
"S128","P2",28,128,"sample","P2",28,"Study",FALSE,FALSE,"not_a_control"
"S129","P2",29,129,"sample","P2",29,"Study",FALSE,FALSE,"not_a_control"
"S130","P2",30,130,"sample","P2",30,"Study",FALSE,FALSE,"not_a_control"
"S131","P2",31,131,"control","P2",31,"QC",TRUE,FALSE,"training_control"
"S132","P2",32,132,"sample","P2",32,"Study",FALSE,FALSE,"not_a_control"
"S133","P2",33,133,"sample","P2",33,"Study",FALSE,FALSE,"not_a_control"
"S134","P2",34,134,"sample","P2",34,"Study",FALSE,FALSE,"not_a_control"
"S135","P2",35,135,"sample","P2",35,"Study",FALSE,FALSE,"not_a_control"
"S136","P2",36,136,"sample","P2",36,"Study",FALSE,FALSE,"not_a_control"
"S137","P2",37,137,"sample","P2",37,"Study",FALSE,FALSE,"not_a_control"
"S138","P2",38,138,"sample","P2",38,"Study",FALSE,FALSE,"not_a_control"
"S139","P2",39,139,"sample","P2",39,"Study",FALSE,FALSE,"not_a_control"
"S140","P2",40,140,"sample","P2",40,"Study",FALSE,FALSE,"not_a_control"
"S141","P2",41,141,"control","P2",41,"QC",TRUE,FALSE,"training_control"
"S142","P2",42,142,"sample","P2",42,"Study",FALSE,FALSE,"not_a_control"
"S143","P2",43,143,"sample","P2",43,"Study",FALSE,FALSE,"not_a_control"
"S144","P2",44,144,"sample","P2",44,"Study",FALSE,FALSE,"not_a_control"
"S145","P2",45,145,"sample","P2",45,"Study",FALSE,FALSE,"not_a_control"
"S146","P2",46,146,"sample","P2",46,"Study",FALSE,FALSE,"not_a_control"
"S147","P2",47,147,"sample","P2",47,"Study",FALSE,FALSE,"not_a_control"
"S148","P2",48,148,"sample","P2",48,"Study",FALSE,FALSE,"not_a_control"
"S149","P2",49,149,"sample","P2",49,"Study",FALSE,FALSE,"not_a_control"
"S150","P2",50,150,"sample","P2",50,"Study",FALSE,FALSE,"not_a_control"
"S151","P2",51,151,"control","P2",51,"QC",TRUE,TRUE,"hidden_test"
"S152","P2",52,152,"sample","P2",52,"Study",FALSE,FALSE,"not_a_control"
"S153","P2",53,153,"sample","P2",53,"Study",FALSE,FALSE,"not_a_control"
"S154","P2",54,154,"sample","P2",54,"Study",FALSE,FALSE,"not_a_control"
"S155","P2",55,155,"sample","P2",55,"Study",FALSE,FALSE,"not_a_control"
"S156","P2",56,156,"sample","P2",56,"Study",FALSE,FALSE,"not_a_control"
"S157","P2",57,157,"sample","P2",57,"Study",FALSE,FALSE,"not_a_control"
"S158","P2",58,158,"sample","P2",58,"Study",FALSE,FALSE,"not_a_control"
"S159","P2",59,159,"sample","P2",59,"Study",FALSE,FALSE,"not_a_control"
"S160","P2",60,160,"sample","P2",60,"Study",FALSE,FALSE,"not_a_control"
"S161","P2",61,161,"control","P2",61,"QC",TRUE,FALSE,"training_control"
"S162","P2",62,162,"sample","P2",62,"Study",FALSE,FALSE,"not_a_control"
"S163","P2",63,163,"sample","P2",63,"Study",FALSE,FALSE,"not_a_control"
"S164","P2",64,164,"sample","P2",64,"Study",FALSE,FALSE,"not_a_control"
"S165","P2",65,165,"sample","P2",65,"Study",FALSE,FALSE,"not_a_control"
"S166","P2",66,166,"sample","P2",66,"Study",FALSE,FALSE,"not_a_control"
"S167","P2",67,167,"sample","P2",67,"Study",FALSE,FALSE,"not_a_control"
"S168","P2",68,168,"sample","P2",68,"Study",FALSE,FALSE,"not_a_control"
"S169","P2",69,169,"sample","P2",69,"Study",FALSE,FALSE,"not_a_control"
"S170","P2",70,170,"sample","P2",70,"Study",FALSE,FALSE,"not_a_control"
"S171","P2",71,171,"control","P2",71,"QC",TRUE,TRUE,"hidden_test"
"S172","P2",72,172,"sample","P2",72,"Study",FALSE,FALSE,"not_a_control"
"S173","P2",73,173,"sample","P2",73,"Study",FALSE,FALSE,"not_a_control"
"S174","P2",74,174,"sample","P2",74,"Study",FALSE,FALSE,"not_a_control"
"S175","P2",75,175,"sample","P2",75,"Study",FALSE,FALSE,"not_a_control"
"S176","P2",76,176,"sample","P2",76,"Study",FALSE,FALSE,"not_a_control"
"S177","P2",77,177,"sample","P2",77,"Study",FALSE,FALSE,"not_a_control"
"S178","P2",78,178,"sample","P2",78,"Study",FALSE,FALSE,"not_a_control"
"S179","P2",79,179,"sample","P2",79,"Study",FALSE,FALSE,"not_a_control"
"S180","P2",80,180,"sample","P2",80,"Study",FALSE,FALSE,"not_a_control"
"S181","P2",81,181,"control","P2",81,"QC",TRUE,FALSE,"training_control"
"S182","P2",82,182,"sample","P2",82,"Study",FALSE,FALSE,"not_a_control"
"S183","P2",83,183,"sample","P2",83,"Study",FALSE,FALSE,"not_a_control"
"S184","P2",84,184,"sample","P2",84,"Study",FALSE,FALSE,"not_a_control"
"S185","P2",85,185,"sample","P2",85,"Study",FALSE,FALSE,"not_a_control"
"S186","P2",86,186,"sample","P2",86,"Study",FALSE,FALSE,"not_a_control"
"S187","P2",87,187,"sample","P2",87,"Study",FALSE,FALSE,"not_a_control"
"S188","P2",88,188,"sample","P2",88,"Study",FALSE,FALSE,"not_a_control"
"S189","P2",89,189,"sample","P2",89,"Study",FALSE,FALSE,"not_a_control"
"S190","P2",90,190,"sample","P2",90,"Study",FALSE,FALSE,"not_a_control"
"S191","P2",91,191,"control","P2",91,"QC",TRUE,FALSE,"training_control"
"S192","P2",92,192,"sample","P2",92,"Study",FALSE,FALSE,"not_a_control"
"S193","P2",93,193,"sample","P2",93,"Study",FALSE,FALSE,"not_a_control"
"S194","P2",94,194,"sample","P2",94,"Study",FALSE,FALSE,"not_a_control"
"S195","P2",95,195,"sample","P2",95,"Study",FALSE,FALSE,"not_a_control"
"S196","P2",96,196,"sample","P2",96,"Study",FALSE,FALSE,"not_a_control"
"S197","P2",97,197,"sample","P2",97,"Study",FALSE,FALSE,"not_a_control"
"S198","P2",98,198,"sample","P2",98,"Study",FALSE,FALSE,"not_a_control"
"S199","P2",99,199,"sample","P2",99,"Study",FALSE,FALSE,"not_a_control"
"S200","P2",100,200,"sample","P2",100,"Study",FALSE,FALSE,"not_a_control"
"S201","P3",1,201,"control","P3",1,"QC",TRUE,FALSE,"training_control"
"S202","P3",2,202,"sample","P3",2,"Study",FALSE,FALSE,"not_a_control"
"S203","P3",3,203,"sample","P3",3,"Study",FALSE,FALSE,"not_a_control"
"S204","P3",4,204,"sample","P3",4,"Study",FALSE,FALSE,"not_a_control"
"S205","P3",5,205,"sample","P3",5,"Study",FALSE,FALSE,"not_a_control"
"S206","P3",6,206,"sample","P3",6,"Study",FALSE,FALSE,"not_a_control"
"S207","P3",7,207,"sample","P3",7,"Study",FALSE,FALSE,"not_a_control"
"S208","P3",8,208,"sample","P3",8,"Study",FALSE,FALSE,"not_a_control"
"S209","P3",9,209,"sample","P3",9,"Study",FALSE,FALSE,"not_a_control"
"S210","P3",10,210,"sample","P3",10,"Study",FALSE,FALSE,"not_a_control"
"S211","P3",11,211,"control","P3",11,"QC",TRUE,FALSE,"training_control"
"S212","P3",12,212,"sample","P3",12,"Study",FALSE,FALSE,"not_a_control"
"S213","P3",13,213,"sample","P3",13,"Study",FALSE,FALSE,"not_a_control"
"S214","P3",14,214,"sample","P3",14,"Study",FALSE,FALSE,"not_a_control"
"S215","P3",15,215,"sample","P3",15,"Study",FALSE,FALSE,"not_a_control"
"S216","P3",16,216,"sample","P3",16,"Study",FALSE,FALSE,"not_a_control"
"S217","P3",17,217,"sample","P3",17,"Study",FALSE,FALSE,"not_a_control"
"S218","P3",18,218,"sample","P3",18,"Study",FALSE,FALSE,"not_a_control"
"S219","P3",19,219,"sample","P3",19,"Study",FALSE,FALSE,"not_a_control"
"S220","P3",20,220,"sample","P3",20,"Study",FALSE,FALSE,"not_a_control"
"S221","P3",21,221,"control","P3",21,"QC",TRUE,FALSE,"training_control"
"S222","P3",22,222,"sample","P3",22,"Study",FALSE,FALSE,"not_a_control"
"S223","P3",23,223,"sample","P3",23,"Study",FALSE,FALSE,"not_a_control"
"S224","P3",24,224,"sample","P3",24,"Study",FALSE,FALSE,"not_a_control"
"S225","P3",25,225,"sample","P3",25,"Study",FALSE,FALSE,"not_a_control"
"S226","P3",26,226,"sample","P3",26,"Study",FALSE,FALSE,"not_a_control"
"S227","P3",27,227,"sample","P3",27,"Study",FALSE,FALSE,"not_a_control"
"S228","P3",28,228,"sample","P3",28,"Study",FALSE,FALSE,"not_a_control"
"S229","P3",29,229,"sample","P3",29,"Study",FALSE,FALSE,"not_a_control"
"S230","P3",30,230,"sample","P3",30,"Study",FALSE,FALSE,"not_a_control"
"S231","P3",31,231,"control","P3",31,"QC",TRUE,FALSE,"training_control"
"S232","P3",32,232,"sample","P3",32,"Study",FALSE,FALSE,"not_a_control"
"S233","P3",33,233,"sample","P3",33,"Study",FALSE,FALSE,"not_a_control"
"S234","P3",34,234,"sample","P3",34,"Study",FALSE,FALSE,"not_a_control"
"S235","P3",35,235,"sample","P3",35,"Study",FALSE,FALSE,"not_a_control"
"S236","P3",36,236,"sample","P3",36,"Study",FALSE,FALSE,"not_a_control"
"S237","P3",37,237,"sample","P3",37,"Study",FALSE,FALSE,"not_a_control"
"S238","P3",38,238,"sample","P3",38,"Study",FALSE,FALSE,"not_a_control"
"S239","P3",39,239,"sample","P3",39,"Study",FALSE,FALSE,"not_a_control"
"S240","P3",40,240,"sample","P3",40,"Study",FALSE,FALSE,"not_a_control"
"S241","P3",41,241,"control","P3",41,"QC",TRUE,FALSE,"training_control"
"S242","P3",42,242,"sample","P3",42,"Study",FALSE,FALSE,"not_a_control"
"S243","P3",43,243,"sample","P3",43,"Study",FALSE,FALSE,"not_a_control"
"S244","P3",44,244,"sample","P3",44,"Study",FALSE,FALSE,"not_a_control"
"S245","P3",45,245,"sample","P3",45,"Study",FALSE,FALSE,"not_a_control"
"S246","P3",46,246,"sample","P3",46,"Study",FALSE,FALSE,"not_a_control"
"S247","P3",47,247,"sample","P3",47,"Study",FALSE,FALSE,"not_a_control"
"S248","P3",48,248,"sample","P3",48,"Study",FALSE,FALSE,"not_a_control"
"S249","P3",49,249,"sample","P3",49,"Study",FALSE,FALSE,"not_a_control"
"S250","P3",50,250,"sample","P3",50,"Study",FALSE,FALSE,"not_a_control"
"S251","P3",51,251,"control","P3",51,"QC",TRUE,FALSE,"training_control"
"S252","P3",52,252,"sample","P3",52,"Study",FALSE,FALSE,"not_a_control"
"S253","P3",53,253,"sample","P3",53,"Study",FALSE,FALSE,"not_a_control"
"S254","P3",54,254,"sample","P3",54,"Study",FALSE,FALSE,"not_a_control"
"S255","P3",55,255,"sample","P3",55,"Study",FALSE,FALSE,"not_a_control"
"S256","P3",56,256,"sample","P3",56,"Study",FALSE,FALSE,"not_a_control"
"S257","P3",57,257,"sample","P3",57,"Study",FALSE,FALSE,"not_a_control"
"S258","P3",58,258,"sample","P3",58,"Study",FALSE,FALSE,"not_a_control"
"S259","P3",59,259,"sample","P3",59,"Study",FALSE,FALSE,"not_a_control"
"S260","P3",60,260,"sample","P3",60,"Study",FALSE,FALSE,"not_a_control"
"S261","P3",61,261,"control","P3",61,"QC",TRUE,TRUE,"hidden_test"
"S262","P3",62,262,"sample","P3",62,"Study",FALSE,FALSE,"not_a_control"
"S263","P3",63,263,"sample","P3",63,"Study",FALSE,FALSE,"not_a_control"
"S264","P3",64,264,"sample","P3",64,"Study",FALSE,FALSE,"not_a_control"
"S265","P3",65,265,"sample","P3",65,"Study",FALSE,FALSE,"not_a_control"
"S266","P3",66,266,"sample","P3",66,"Study",FALSE,FALSE,"not_a_control"
"S267","P3",67,267,"sample","P3",67,"Study",FALSE,FALSE,"not_a_control"
"S268","P3",68,268,"sample","P3",68,"Study",FALSE,FALSE,"not_a_control"
"S269","P3",69,269,"sample","P3",69,"Study",FALSE,FALSE,"not_a_control"
"S270","P3",70,270,"sample","P3",70,"Study",FALSE,FALSE,"not_a_control"
"S271","P3",71,271,"control","P3",71,"QC",TRUE,FALSE,"training_control"
"S272","P3",72,272,"sample","P3",72,"Study",FALSE,FALSE,"not_a_control"
"S273","P3",73,273,"sample","P3",73,"Study",FALSE,FALSE,"not_a_control"
"S274","P3",74,274,"sample","P3",74,"Study",FALSE,FALSE,"not_a_control"
"S275","P3",75,275,"sample","P3",75,"Study",FALSE,FALSE,"not_a_control"
"S276","P3",76,276,"sample","P3",76,"Study",FALSE,FALSE,"not_a_control"
"S277","P3",77,277,"sample","P3",77,"Study",FALSE,FALSE,"not_a_control"
"S278","P3",78,278,"sample","P3",78,"Study",FALSE,FALSE,"not_a_control"
"S279","P3",79,279,"sample","P3",79,"Study",FALSE,FALSE,"not_a_control"
"S280","P3",80,280,"sample","P3",80,"Study",FALSE,FALSE,"not_a_control"
"S281","P3",81,281,"control","P3",81,"QC",TRUE,FALSE,"training_control"
"S282","P3",82,282,"sample","P3",82,"Study",FALSE,FALSE,"not_a_control"
"S283","P3",83,283,"sample","P3",83,"Study",FALSE,FALSE,"not_a_control"
"S284","P3",84,284,"sample","P3",84,"Study",FALSE,FALSE,"not_a_control"
"S285","P3",85,285,"sample","P3",85,"Study",FALSE,FALSE,"not_a_control"
"S286","P3",86,286,"sample","P3",86,"Study",FALSE,FALSE,"not_a_control"
"S287","P3",87,287,"sample","P3",87,"Study",FALSE,FALSE,"not_a_control"
"S288","P3",88,288,"sample","P3",88,"Study",FALSE,FALSE,"not_a_control"
"S289","P3",89,289,"sample","P3",89,"Study",FALSE,FALSE,"not_a_control"
"S290","P3",90,290,"sample","P3",90,"Study",FALSE,FALSE,"not_a_control"
"S291","P3",91,291,"control","P3",91,"QC",TRUE,TRUE,"hidden_test"
"S292","P3",92,292,"sample","P3",92,"Study",FALSE,FALSE,"not_a_control"
"S293","P3",93,293,"sample","P3",93,"Study",FALSE,FALSE,"not_a_control"
"S294","P3",94,294,"sample","P3",94,"Study",FALSE,FALSE,"not_a_control"
"S295","P3",95,295,"sample","P3",95,"Study",FALSE,FALSE,"not_a_control"
"S296","P3",96,296,"sample","P3",96,"Study",FALSE,FALSE,"not_a_control"
"S297","P3",97,297,"sample","P3",97,"Study",FALSE,FALSE,"not_a_control"
"S298","P3",98,298,"sample","P3",98,"Study",FALSE,FALSE,"not_a_control"
"S299","P3",99,299,"sample","P3",99,"Study",FALSE,FALSE,"not_a_control"
"S300","P3",100,300,"sample","P3",100,"Study",FALSE,FALSE,"not_a_control"
"S301","P4",1,301,"control","P4",1,"QC",TRUE,FALSE,"training_control"
"S302","P4",2,302,"sample","P4",2,"Study",FALSE,FALSE,"not_a_control"
"S303","P4",3,303,"sample","P4",3,"Study",FALSE,FALSE,"not_a_control"
"S304","P4",4,304,"sample","P4",4,"Study",FALSE,FALSE,"not_a_control"
"S305","P4",5,305,"sample","P4",5,"Study",FALSE,FALSE,"not_a_control"
"S306","P4",6,306,"sample","P4",6,"Study",FALSE,FALSE,"not_a_control"
"S307","P4",7,307,"sample","P4",7,"Study",FALSE,FALSE,"not_a_control"
"S308","P4",8,308,"sample","P4",8,"Study",FALSE,FALSE,"not_a_control"
"S309","P4",9,309,"sample","P4",9,"Study",FALSE,FALSE,"not_a_control"
"S310","P4",10,310,"sample","P4",10,"Study",FALSE,FALSE,"not_a_control"
"S311","P4",11,311,"control","P4",11,"QC",TRUE,FALSE,"training_control"
"S312","P4",12,312,"sample","P4",12,"Study",FALSE,FALSE,"not_a_control"
"S313","P4",13,313,"sample","P4",13,"Study",FALSE,FALSE,"not_a_control"
"S314","P4",14,314,"sample","P4",14,"Study",FALSE,FALSE,"not_a_control"
"S315","P4",15,315,"sample","P4",15,"Study",FALSE,FALSE,"not_a_control"
"S316","P4",16,316,"sample","P4",16,"Study",FALSE,FALSE,"not_a_control"
"S317","P4",17,317,"sample","P4",17,"Study",FALSE,FALSE,"not_a_control"
"S318","P4",18,318,"sample","P4",18,"Study",FALSE,FALSE,"not_a_control"
"S319","P4",19,319,"sample","P4",19,"Study",FALSE,FALSE,"not_a_control"
"S320","P4",20,320,"sample","P4",20,"Study",FALSE,FALSE,"not_a_control"
"S321","P4",21,321,"control","P4",21,"QC",TRUE,FALSE,"training_control"
"S322","P4",22,322,"sample","P4",22,"Study",FALSE,FALSE,"not_a_control"
"S323","P4",23,323,"sample","P4",23,"Study",FALSE,FALSE,"not_a_control"
"S324","P4",24,324,"sample","P4",24,"Study",FALSE,FALSE,"not_a_control"
"S325","P4",25,325,"sample","P4",25,"Study",FALSE,FALSE,"not_a_control"
"S326","P4",26,326,"sample","P4",26,"Study",FALSE,FALSE,"not_a_control"
"S327","P4",27,327,"sample","P4",27,"Study",FALSE,FALSE,"not_a_control"
"S328","P4",28,328,"sample","P4",28,"Study",FALSE,FALSE,"not_a_control"
"S329","P4",29,329,"sample","P4",29,"Study",FALSE,FALSE,"not_a_control"
"S330","P4",30,330,"sample","P4",30,"Study",FALSE,FALSE,"not_a_control"
"S331","P4",31,331,"control","P4",31,"QC",TRUE,FALSE,"training_control"
"S332","P4",32,332,"sample","P4",32,"Study",FALSE,FALSE,"not_a_control"
