"method_id","method","metric","direction","units","n","mean","sd","median","q1","q3","minimum","maximum"
"qc_rlsc","QC-RLSC","batch_weighted_pc_r2_categorical","lower","weighted R-squared",10,0.000127725885892593,5.85909717815922e-05,0.000108539272166378,9.40085398918102e-05,0.000141294400071474,7.49716785129518e-05,0.000272197986484185
"qc_rlsc","QC-RLSC","drift_features_corrected","descriptive","features",0,,,,,,,
"qc_rlsc","QC-RLSC","drift_profiles_corrected","descriptive","profiles",0,,,,,,,
"qc_rlsc","QC-RLSC","heldout_qc_cv_mean","lower","percent",10,11.2502925090054,0.62974243422231,11.2252457065885,10.8758359919143,11.3653723701895,10.4999131624941,12.7286285306739
"qc_rlsc","QC-RLSC","heldout_qc_cv_median","lower","percent",10,8.9340775984687,0.338874832234811,8.90431337551615,8.73796929286581,8.96782221982745,8.49898442728294,9.51910313283741
"qc_rlsc","QC-RLSC","heldout_qc_cv_sd","lower","percent",10,8.75127648162598,0.780830601498561,8.6643792912214,8.23777736355854,8.97493164272169,7.87615973890102,10.5924015579469
"qc_rlsc","QC-RLSC","residual_ljung_box_proportion_significant","lower","proportion",10,0.06316,0.00627148750740648,0.0629,0.05935,0.06565,0.0532,0.0766
"qc_rlsc","QC-RLSC","residual_run_order_gam_mean_deviance","lower","proportion",10,0.0526207759831852,0.00230375374556885,0.0524401842138173,0.0519351573121989,0.0534291997149548,0.0487972916733427,0.057243273417772
"qc_rlsc","QC-RLSC","residual_run_order_gam_sd_deviance","lower","proportion",10,0.0901966922338756,0.00619484749861968,0.08934182929949,0.0877054839066084,0.0928896494412295,0.0822642386420011,0.103476460992726
"qc_rlsc","QC-RLSC","retained_features","higher","features",10,1000,0,1000,1000,1000,1000,1000
"qc_rlsc","QC-RLSC","retained_samples","higher","samples",10,500,0,500,500,500,500,500
"qc_rlsc","QC-RLSC","runtime_sec","lower","seconds",0,,,,,,,
"qc_rlsc","QC-RLSC","truth_log1p_rmse","lower","log1p intensity",10,0.0896251707671351,0.00128317392147838,0.0900588331879517,0.089051956812579,0.0904850148895206,0.0873857158225286,0.0910270485124611
"qc_rlsc","QC-RLSC","truth_metabolite_profile_icc_mean","higher","ICC(A,1)",10,0.905997659063525,0.0024859142018938,0.906047815182946,0.904621597076153,0.907729907247546,0.90162453868772,0.909181014014572
"qc_rlsc","QC-RLSC","truth_sample_profile_pearson_mean","higher","correlation",10,0.905269100566959,0.00237834040352949,0.90443798446966,0.903957675052612,0.906655399218771,0.902054567146382,0.909375377160721
"raw","Raw","batch_features_corrected","descriptive","features",0,,,,,,,
"raw","Raw","batch_weighted_pc_r2_categorical","lower","weighted R-squared",10,0.963692944992493,0.00111782839335604,0.963598882296357,0.96334889474524,0.963875724213789,0.962076478387943,0.965647338615417
"raw","Raw","drift_features_corrected","descriptive","features",0,,,,,,,
"raw","Raw","drift_profiles_corrected","descriptive","profiles",0,,,,,,,
"raw","Raw","heldout_qc_cv_mean","lower","percent",10,44.5499522758485,0.900278865931048,44.5728528414015,43.8172009708169,45.2358100498352,43.3237040927998,46.0458554803273
"raw","Raw","heldout_qc_cv_median","lower","percent",10,42.6225453864334,1.15122554210245,42.9732325355633,41.9081409642261,43.5329163142771,40.5278650392218,43.8324936074846
"raw","Raw","heldout_qc_cv_sd","lower","percent",10,31.3628876286724,0.744429756268691,31.4729549104263,31.0560903738531,31.8943532157799,30.1981686175231,32.4350416307392
"raw","Raw","residual_ljung_box_proportion_significant","lower","proportion",10,0.24442,0.00937725380316054,0.2456,0.2388,0.25195,0.2252,0.2558
"raw","Raw","residual_run_order_gam_mean_deviance","lower","proportion",10,0.125052247139688,0.00315840508458527,0.126078358317199,0.122718350524912,0.127423470582909,0.118892897268797,0.128999212207027
"raw","Raw","residual_run_order_gam_sd_deviance","lower","proportion",10,0.192909773830595,0.00281365736216151,0.192809909143816,0.19116260770981,0.195243418767833,0.188862465679852,0.197313555439377
"raw","Raw","retained_features","higher","features",10,1000,0,1000,1000,1000,1000,1000
"raw","Raw","retained_samples","higher","samples",10,500,0,500,500,500,500,500
"raw","Raw","runtime_sec","lower","seconds",10,0,0,0,0,0,0,0
"raw","Raw","truth_log1p_rmse","lower","log1p intensity",10,0.292733754336732,0.00482896440109237,0.29128888921195,0.29012119877641,0.296364658646327,0.286072426961136,0.299586966363763
"raw","Raw","truth_metabolite_profile_icc_mean","higher","ICC(A,1)",10,0.587902038463974,0.00641604747866528,0.587607286344851,0.584141205194659,0.590710520062179,0.577019055009956,0.599639701154964
"raw","Raw","truth_sample_profile_pearson_mean","higher","correlation",10,0.518855728315954,0.00653505379056993,0.519255852090799,0.513714984014822,0.524623498537628,0.510193725862697,0.527958759118997
"serrf","SERRF","batch_features_corrected","descriptive","features",0,,,,,,,
"serrf","SERRF","batch_weighted_pc_r2_categorical","lower","weighted R-squared",10,0.000998344467768058,0.000446095813177138,0.00091570627401431,0.000631860314363647,0.00136614369981597,0.000421112422799785,0.0016272780666388
"serrf","SERRF","drift_features_corrected","descriptive","features",0,,,,,,,
"serrf","SERRF","drift_profiles_corrected","descriptive","profiles",0,,,,,,,
"serrf","SERRF","heldout_qc_cv_mean","lower","percent",10,12.6098474490839,0.542771920197266,12.7788119063955,12.2516592905661,13.0408026451801,11.6664082856115,13.159246754266
"serrf","SERRF","heldout_qc_cv_median","lower","percent",10,10.138854405246,0.577579688991766,10.2277440319223,9.82507761933056,10.568312912961,9.25463575512876,10.910866052033
"serrf","SERRF","heldout_qc_cv_sd","lower","percent",10,9.88633366649753,0.556079126405847,9.84639129665694,9.56287990962192,10.2895609547182,8.97944191846397,10.8107199033389
"serrf","SERRF","residual_ljung_box_proportion_significant","lower","proportion",10,0.19072,0.00740582353436957,0.1921,0.1847,0.1958,0.178,0.2006
"serrf","SERRF","residual_run_order_gam_mean_deviance","lower","proportion",10,0.0965551101088601,0.00235005947064047,0.0963829230501057,0.0946675778426735,0.098744883585056,0.0935685227450155,0.0997710875953133
"serrf","SERRF","residual_run_order_gam_sd_deviance","lower","proportion",10,0.152141191651311,0.00245107900718193,0.152014490576752,0.150154103052878,0.153793833166803,0.149074268782167,0.156531324905062
"serrf","SERRF","retained_features","higher","features",10,1000,0,1000,1000,1000,1000,1000
"serrf","SERRF","retained_samples","higher","samples",10,500,0,500,500,500,500,500
"serrf","SERRF","runtime_sec","lower","seconds",0,,,,,,,
"serrf","SERRF","truth_log1p_rmse","lower","log1p intensity",10,0.0965397388099749,0.002203511517877,0.0970830312814428,0.0954172002524254,0.0981320120675076,0.0930059089482615,0.0993038121640298
"serrf","SERRF","truth_metabolite_profile_icc_mean","higher","ICC(A,1)",10,0.888146840063937,0.00278021569296538,0.887980637223303,0.887087330932239,0.889181195131842,0.883285843419585,0.892957159404076
"serrf","SERRF","truth_sample_profile_pearson_mean","higher","correlation",10,0.876454952485287,0.00509213675508997,0.87438573390091,0.872475771139143,0.879583664690001,0.870958829380632,0.884754600162773
"tiger","TIGER","batch_features_corrected","descriptive","features",0,,,,,,,
"tiger","TIGER","batch_weighted_pc_r2_categorical","lower","weighted R-squared",10,0.0633636534902507,0.0186586641033627,0.0615810867725337,0.0537017998152056,0.0759757959019235,0.0320282374516539,0.0905309788961231
"tiger","TIGER","drift_features_corrected","descriptive","features",0,,,,,,,
"tiger","TIGER","drift_profiles_corrected","descriptive","profiles",0,,,,,,,
"tiger","TIGER","heldout_qc_cv_mean","lower","percent",10,9.5255270842089,0.583881989987457,9.64055567833935,9.22077221881828,9.86490226949224,8.3970204233217,10.397952597894
"tiger","TIGER","heldout_qc_cv_median","lower","percent",10,8.11424485813908,0.651273062311229,8.34121289847476,7.66165358949179,8.66316372231964,6.88349716087468,8.74350929208722
"tiger","TIGER","heldout_qc_cv_sd","lower","percent",10,9.87669576769089,0.565070896999852,9.92236250566514,9.54371126133396,10.1077146687598,8.93334685421498,10.9434438255824
"tiger","TIGER","residual_ljung_box_proportion_significant","lower","proportion",10,0.1649,0.00723341013784108,0.1648,0.15925,0.1687,0.1558,0.176
"tiger","TIGER","residual_run_order_gam_mean_deviance","lower","proportion",10,0.0830344596862534,0.00184955603104345,0.0831795279672948,0.0815421604928414,0.0838138336567809,0.0804314254434211,0.0862983398148193
"tiger","TIGER","residual_run_order_gam_sd_deviance","lower","proportion",10,0.125788059637242,0.00231561069273187,0.125743710762351,0.124103455395283,0.126504308328985,0.122894158209696,0.129592057363962
"tiger","TIGER","retained_features","higher","features",10,1000,0,1000,1000,1000,1000,1000
"tiger","TIGER","retained_samples","higher","samples",10,500,0,500,500,500,500,500
"tiger","TIGER","runtime_sec","lower","seconds",10,1736.6305,189.775914427897,1690.1045,1614.07225,1727.183,1562.059,2187.481
"tiger","TIGER","truth_log1p_rmse","lower","log1p intensity",10,0.114278517645004,0.00369423749509111,0.113063953712287,0.111444199080729,0.117389232507245,0.109498030245738,0.120731799348592
"tiger","TIGER","truth_metabolite_profile_icc_mean","higher","ICC(A,1)",10,0.871511308692658,0.00195002456161779,0.871645590699095,0.869890166590475,0.87294586530743,0.868670992138546,0.874766776080147
"tiger","TIGER","truth_sample_profile_pearson_mean","higher","correlation",10,0.849169454959951,0.00803578669494682,0.849714749619787,0.843850639250692,0.855250985211814,0.835092959168192,0.862064514475573
"winn_auto_batch_qc","WiNN auto-batch (QC)","batch_features_corrected","descriptive","features",10,684.3,49.6768445947293,683,649.75,702.75,629,801
"winn_auto_batch_qc","WiNN auto-batch (QC)","batch_weighted_pc_r2_categorical","lower","weighted R-squared",10,0.204507928840051,0.0603853796811137,0.190057363545094,0.188416215077,0.228417795963735,0.114588952709036,0.302506088513641
"winn_auto_batch_qc","WiNN auto-batch (QC)","drift_features_corrected","descriptive","features",10,899.5,11.955937622974,898.5,892.5,906.25,883,922
"winn_auto_batch_qc","WiNN auto-batch (QC)","drift_profiles_corrected","descriptive","profiles",10,1696.1,454.548237264209,1654.5,1627,1734.75,1097,2753
"winn_auto_batch_qc","WiNN auto-batch (QC)","heldout_qc_cv_mean","lower","percent",10,14.836905072127,2.21015051068685,15.1370493771489,13.4960716366217,16.142746984347,10.5219993591051,18.4475738781864
"winn_auto_batch_qc","WiNN auto-batch (QC)","heldout_qc_cv_median","lower","percent",10,13.9121646982949,2.19583668057419,13.9800429399242,12.7993086421053,15.0014771995238,10.0037623597111,18.1703163418628
"winn_auto_batch_qc","WiNN auto-batch (QC)","heldout_qc_cv_sd","lower","percent",10,9.50618957097434,1.74557316891335,9.85279023236856,9.14849469554601,10.8508981762748,5.76481621181103,11.2311765365546
"winn_auto_batch_qc","WiNN auto-batch (QC)","residual_ljung_box_proportion_significant","lower","proportion",10,0.19696,0.0675201895731936,0.212,0.15625,0.2361,0.0728,0.2802
"winn_auto_batch_qc","WiNN auto-batch (QC)","residual_run_order_gam_mean_deviance","lower","proportion",10,0.121037161435615,0.0271247667919613,0.1292451363233,0.0998647984925988,0.140731621568243,0.0750793863837347,0.153985313916287
"winn_auto_batch_qc","WiNN auto-batch (QC)","residual_run_order_gam_sd_deviance","lower","proportion",10,0.169165405113966,0.0200961563687792,0.173216029649854,0.156763912321335,0.181487585476318,0.12974128297221,0.193001634586252
"winn_auto_batch_qc","WiNN auto-batch (QC)","retained_features","higher","features",10,1000,0,1000,1000,1000,1000,1000
"winn_auto_batch_qc","WiNN auto-batch (QC)","retained_samples","higher","samples",10,500,0,500,500,500,500,500
"winn_auto_batch_qc","WiNN auto-batch (QC)","runtime_sec","lower","seconds",10,19.8232,2.28153066553526,19.4235,18.46475,19.73125,17.655,25.677
"winn_auto_batch_qc","WiNN auto-batch (QC)","truth_log1p_rmse","lower","log1p intensity",10,0.101605293236884,0.00800655883252856,0.102564171116697,0.0958547043040865,0.105397295087042,0.0908059767371582,0.116367915602853
"winn_auto_batch_qc","WiNN auto-batch (QC)","truth_metabolite_profile_icc_mean","higher","ICC(A,1)",10,0.861412821128978,0.0164009987271071,0.858581018159678,0.852998142417251,0.874722010730304,0.833830028893692,0.883657789605854
"winn_auto_batch_qc","WiNN auto-batch (QC)","truth_sample_profile_pearson_mean","higher","correlation",10,0.870324129685126,0.0149921447619644,0.869354807775594,0.863365649554321,0.881882632536962,0.843807290418934,0.891871048095595
"winn_auto_qc","WiNN auto (QC)","batch_features_corrected","descriptive","features",10,695.1,15.8145502623375,692,685.75,703.75,667,721
"winn_auto_qc","WiNN auto (QC)","batch_weighted_pc_r2_categorical","lower","weighted R-squared",10,0.000943528697245732,0.000261260493783449,0.000962736987749893,0.000822941577091374,0.00101092910587037,0.000453735537363147,0.00140103151190936
"winn_auto_qc","WiNN auto (QC)","drift_features_corrected","descriptive","features",10,677.4,22.9937189491198,685,666.5,690.5,629,708
"winn_auto_qc","WiNN auto (QC)","drift_profiles_corrected","descriptive","profiles",10,1513.1,82.7478767770576,1536.5,1450.25,1565.5,1387,1607
"winn_auto_qc","WiNN auto (QC)","heldout_qc_cv_mean","lower","percent",10,8.69738574090131,0.215346789246311,8.64577157607556,8.59423462474737,8.7743778648688,8.43746935826601,9.14086434833699
"winn_auto_qc","WiNN auto (QC)","heldout_qc_cv_median","lower","percent",10,7.82923795133232,0.169728847990701,7.78421402223398,7.72870186710576,7.92957554492229,7.60028199449162,8.14119970771157
"winn_auto_qc","WiNN auto (QC)","heldout_qc_cv_sd","lower","percent",10,6.24325701368164,0.242793489662056,6.28793632804937,6.17919752111297,6.34831628950542,5.73421148471736,6.65768183886876
"winn_auto_qc","WiNN auto (QC)","residual_ljung_box_proportion_significant","lower","proportion",10,0.00736,0.00164059609762902,0.0073,0.0064,0.00845,0.005,0.0104
"winn_auto_qc","WiNN auto (QC)","residual_run_order_gam_mean_deviance","lower","proportion",10,0.0201374938549611,0.000984290029812567,0.0198449297332479,0.0196054915605778,0.0209752940129956,0.0187366631649198,0.0215438905538847
"winn_auto_qc","WiNN auto (QC)","residual_run_order_gam_sd_deviance","lower","proportion",10,0.0331763803998019,0.00116453727448509,0.0331103841671391,0.0321185536240076,0.0338348185679898,0.0317345147202895,0.0349558688354728
"winn_auto_qc","WiNN auto (QC)","retained_features","higher","features",10,1000,0,1000,1000,1000,1000,1000
"winn_auto_qc","WiNN auto (QC)","retained_samples","higher","samples",10,500,0,500,500,500,500,500
"winn_auto_qc","WiNN auto (QC)","runtime_sec","lower","seconds",10,19.3599,3.9548668596778,18.109,17.52775,19.145,16.488,30.044
"winn_auto_qc","WiNN auto (QC)","truth_log1p_rmse","lower","log1p intensity",10,0.0726550537275113,0.00130946179765469,0.0726883259962852,0.0716019282482958,0.0731947029850916,0.07093144153758,0.0750559472841526
"winn_auto_qc","WiNN auto (QC)","truth_metabolite_profile_icc_mean","higher","ICC(A,1)",10,0.921253528541325,0.00152985671046061,0.921500271586513,0.921186413804158,0.922287067202765,0.91818842884011,0.923034048187937
"winn_auto_qc","WiNN auto (QC)","truth_sample_profile_pearson_mean","higher","correlation",10,0.923148385292404,0.00313528899845012,0.923739878828593,0.920942421399275,0.925718960131649,0.918015120426214,0.927522225420304
"winn_fixed_no_qc","WiNN fixed default (no QC)","batch_features_corrected","descriptive","features",10,703.7,15.5352645437548,701.5,694.25,715.25,676,725
"winn_fixed_no_qc","WiNN fixed default (no QC)","batch_weighted_pc_r2_categorical","lower","weighted R-squared",10,0.000850842100839286,0.000200685709992933,0.000871397863760973,0.000760466986822996,0.000951160197002283,0.000452966163941812,0.00120378704130995
"winn_fixed_no_qc","WiNN fixed default (no QC)","drift_features_corrected","descriptive","features",10,650.8,13.7501515143167,652,640.25,662.5,629,671
"winn_fixed_no_qc","WiNN fixed default (no QC)","drift_profiles_corrected","descriptive","profiles",10,1429.2,41.7101106847409,1429.5,1397,1454.25,1370,1505
"winn_fixed_no_qc","WiNN fixed default (no QC)","heldout_qc_cv_mean","lower","percent",10,8.69362142903758,0.19804447399962,8.66453791133792,8.60339794635357,8.76088753005882,8.42898920927422,9.07845073787309
"winn_fixed_no_qc","WiNN fixed default (no QC)","heldout_qc_cv_median","lower","percent",10,7.8303676255007,0.136259537148166,7.79594160845662,7.72167775460296,7.89381158578502,7.67818563752334,8.06330676685007
"winn_fixed_no_qc","WiNN fixed default (no QC)","heldout_qc_cv_sd","lower","percent",10,6.27217833176862,0.230077214340776,6.28465682175854,6.17136961708588,6.38982602633238,5.83850402782076,6.65742880018917
"winn_fixed_no_qc","WiNN fixed default (no QC)","residual_ljung_box_proportion_significant","lower","proportion",10,0.00698,0.00183169623876644,0.0069,0.0062,0.00795,0.0044,0.0106
"winn_fixed_no_qc","WiNN fixed default (no QC)","residual_run_order_gam_mean_deviance","lower","proportion",10,0.0210795190711146,0.000643222326198319,0.0213053853433562,0.0206605109869281,0.0215267019795406,0.0198640127223974,0.021732341523898
"winn_fixed_no_qc","WiNN fixed default (no QC)","residual_run_order_gam_sd_deviance","lower","proportion",10,0.0345941670443076,0.000871276126911549,0.0347150822579586,0.0339909748015439,0.0352442705123903,0.0329242646153165,0.0357473049258887
"winn_fixed_no_qc","WiNN fixed default (no QC)","retained_features","higher","features",10,1000,0,1000,1000,1000,1000,1000
"winn_fixed_no_qc","WiNN fixed default (no QC)","retained_samples","higher","samples",10,500,0,500,500,500,500,500
"winn_fixed_no_qc","WiNN fixed default (no QC)","runtime_sec","lower","seconds",10,6.9695,0.370958892601323,6.925,6.69675,7.25975,6.45,7.502
"winn_fixed_no_qc","WiNN fixed default (no QC)","truth_log1p_rmse","lower","log1p intensity",10,0.0727421036601077,0.00131612998720842,0.0726898269230508,0.0717288491547836,0.0733345083061314,0.0709686009455053,0.0751852130525579
"winn_fixed_no_qc","WiNN fixed default (no QC)","truth_metabolite_profile_icc_mean","higher","ICC(A,1)",10,0.921146188241821,0.00152430160425585,0.921482933439284,0.9210085755696,0.922068149602763,0.91822667604616,0.922967580857371
"winn_fixed_no_qc","WiNN fixed default (no QC)","truth_sample_profile_pearson_mean","higher","correlation",10,0.922982164600671,0.00313443983149798,0.923652624660335,0.920691987364941,0.925503563409852,0.917921592834698,0.927334726044255
