"method_id","dataset_key","selection_class","selection_criterion","selected_parameters","candidate_count","training_qc_values_available","hidden_qc_values_available","biological_labels_available","replicate_identities_available","preservation_endpoints_available","batch_r2_available","final_rank_available","method","selection_seed","source_package","source_version","information_available_during_selection","departure_from_native_default","departure_justification","configuration_frozen_before_evaluation"
"combat","clinical_fiams","training_qc_selected","frozen training-QC score","par_prior=FALSE",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"ComBat",2026072620,"sva","3.56.0","training-QC intensities and supplied batch labels",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"qc_rlsc","clinical_fiams","training_qc_selected","frozen training-QC score","span=0.9; degree=1",4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"QC-RLSC",2026072621,"qcrlscR","0.1.3","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"qc_rfsc","clinical_fiams","training_qc_selected","frozen training-QC score","ntree=200; coCV=20; Frule=0.8",4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"QC-RFSC",2026072622,"statTarget","1.38.0","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"tiger","clinical_fiams","native_default","native TIGER ensemble; acquisition order supplied because it is reliable","use_injection=TRUE; mtry_percent=0.2,0.4,0.6,0.8; nodesize_percent=0.2,0.4,0.6,0.8; ntree=500",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TIGER",2026072623,"TIGERr","1.0.2","published or prespecified setting only; no evaluation endpoint available",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"serrf","clinical_fiams","training_qc_selected","frozen training-QC score","jitter_eps=0",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"SERRF",2026072624,"malbacR","0.1.0","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"winn_auto_qc","clinical_fiams","package_auto","package auto-selection using training QCs only","parameters=auto; supplied_batch=TRUE; controls=training_only; ljung_box_fitdf=0",36,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN auto (QC)",2026072625,"winn","0.1.4","training-QC intensities, run order, supplied batch labels, and training-QC identities",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"winn_auto_batch_qc","clinical_fiams","package_auto","package auto-selection using training QCs only","parameters=auto; supplied_batch=FALSE; controls=training_only; ljung_box_fitdf=0",36,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN auto-batch (QC)",2026072626,"winn","0.1.4","training-QC intensities, run order, and training-QC identities; no supplied batch labels",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"winn_fixed_no_qc","clinical_fiams","fixed_primary","prespecified package default","parameters=fixed; supplied_batch=TRUE; controls=NULL; fdr=0.05; Ljung-Box fitdf=0; conservative spline; ANOVA selective; PQN shrink",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN fixed default (no QC)",2026072627,"winn","0.1.4","supplied batch labels and run order; no QC identities or intensities",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"raw","batchcorr_set1","fixed","identity; no selection","identity",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Raw",2026072628,"base R","4.5.1","none",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"combat","batchcorr_set1","training_qc_selected","frozen training-QC score","par_prior=TRUE",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"ComBat",2026072629,"sva","3.56.0","training-QC intensities and supplied batch labels",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"qc_rlsc","batchcorr_set1","fixed_design_safeguard","fixed sparse-QC safeguard","span=1; degree=1; sparse-QC safeguard",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"QC-RLSC",2026072630,"qcrlscR","0.1.3","published or prespecified setting only; no evaluation endpoint available",TRUE,"Prespecified design safeguard used where native tuning was not reliable for the available QC layout.",TRUE
"qc_rfsc","batchcorr_set1","training_qc_selected","frozen training-QC score","ntree=200; coCV=20; Frule=0.8",4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"QC-RFSC",2026072631,"statTarget","1.38.0","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"tiger","batchcorr_set1","native_default","native TIGER ensemble; acquisition order supplied because it is reliable","use_injection=TRUE; mtry_percent=0.2,0.4,0.6,0.8; nodesize_percent=0.2,0.4,0.6,0.8; ntree=500",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TIGER",2026072632,"TIGERr","1.0.2","published or prespecified setting only; no evaluation endpoint available",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"serrf","batchcorr_set1","training_qc_selected","frozen training-QC score","jitter_eps=1e-5",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"SERRF",2026072633,"malbacR","0.1.0","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"winn_auto_qc","batchcorr_set1","package_auto","package auto-selection using training QCs only","parameters=auto; supplied_batch=TRUE; controls=training_only; ljung_box_fitdf=0",72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN auto (QC)",2026072634,"winn","0.1.4","training-QC intensities, run order, supplied batch labels, and training-QC identities",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"winn_auto_batch_qc","batchcorr_set1","package_auto","package auto-selection using training QCs only","parameters=auto; supplied_batch=FALSE; controls=training_only; ljung_box_fitdf=0",72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN auto-batch (QC)",2026072635,"winn","0.1.4","training-QC intensities, run order, and training-QC identities; no supplied batch labels",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"winn_fixed_no_qc","batchcorr_set1","fixed_primary","prespecified package default","parameters=fixed; supplied_batch=TRUE; controls=NULL; fdr=0.05; Ljung-Box fitdf=0; conservative spline; ANOVA selective; PQN shrink",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN fixed default (no QC)",2026072636,"winn","0.1.4","supplied batch labels and run order; no QC identities or intensities",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"raw","sacurine","fixed","identity; no selection","identity",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Raw",2026072637,"base R","4.5.1","none",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"combat","sacurine","published_or_native_default","prespecified conventional empirical-Bayes default","par_prior=TRUE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"ComBat",2026072638,"sva","3.56.0","supplied batch labels only",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"qc_rlsc","sacurine","training_qc_selected","frozen training-QC score","span=0.9; degree=1",4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"QC-RLSC",2026072639,"qcrlscR","0.1.3","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"qc_rfsc","sacurine","training_qc_selected","frozen training-QC score","ntree=500; coCV=30; Frule=0.8",4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"QC-RFSC",2026072640,"statTarget","1.38.0","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"tiger","sacurine","native_default","native TIGER ensemble; acquisition order supplied because it is reliable","use_injection=TRUE; mtry_percent=0.2,0.4,0.6,0.8; nodesize_percent=0.2,0.4,0.6,0.8; ntree=500",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TIGER",2026072641,"TIGERr","1.0.2","published or prespecified setting only; no evaluation endpoint available",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"serrf","sacurine","training_qc_selected","frozen training-QC score","jitter_eps=0",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"SERRF",2026072642,"malbacR","0.1.0","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"winn_auto_qc","sacurine","package_auto","package auto-selection using training QCs only","parameters=auto; supplied_batch=TRUE; controls=training_only; ljung_box_fitdf=0",72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN auto (QC)",2026072643,"winn","0.1.4","training-QC intensities, run order, supplied batch labels, and training-QC identities",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"winn_auto_batch_qc","sacurine","package_auto","package auto-selection using training QCs only","parameters=auto; supplied_batch=FALSE; controls=training_only; ljung_box_fitdf=0",72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN auto-batch (QC)",2026072644,"winn","0.1.4","training-QC intensities, run order, and training-QC identities; no supplied batch labels",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"winn_fixed_no_qc","sacurine","fixed_primary","prespecified package default","parameters=fixed; supplied_batch=TRUE; controls=NULL; fdr=0.05; Ljung-Box fitdf=0; conservative spline; ANOVA selective; PQN shrink",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN fixed default (no QC)",2026072645,"winn","0.1.4","supplied batch labels and run order; no QC identities or intensities",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"raw","waveica","fixed","identity; no selection","identity",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Raw",2026072646,"base R","4.5.1","none",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"combat","waveica","published_or_native_default","prespecified conventional empirical-Bayes default","par_prior=TRUE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"ComBat",2026072647,"sva","3.56.0","supplied batch labels only",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"qc_rlsc","waveica","training_qc_selected","frozen training-QC score","span=0.9; degree=1",4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"QC-RLSC",2026072648,"qcrlscR","0.1.3","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"qc_rfsc","waveica","training_qc_selected","frozen training-QC score","ntree=500; coCV=30; Frule=0.8",4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"QC-RFSC",2026072649,"statTarget","1.38.0","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"tiger","waveica","native_default","native TIGER ensemble; acquisition order supplied because it is reliable","use_injection=TRUE; mtry_percent=0.2,0.4,0.6,0.8; nodesize_percent=0.2,0.4,0.6,0.8; ntree=500",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TIGER",2026072650,"TIGERr","1.0.2","published or prespecified setting only; no evaluation endpoint available",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"serrf","waveica","training_qc_selected","frozen training-QC score","jitter_eps=1e-5",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"SERRF",2026072651,"malbacR","0.1.0","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"winn_auto_qc","waveica","package_auto","package auto-selection using training QCs only","parameters=auto; supplied_batch=TRUE; controls=training_only; ljung_box_fitdf=0",72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN auto (QC)",2026072652,"winn","0.1.4","training-QC intensities, run order, supplied batch labels, and training-QC identities",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"winn_auto_batch_qc","waveica","package_auto","package auto-selection using training QCs only","parameters=auto; supplied_batch=FALSE; controls=training_only; ljung_box_fitdf=0",72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN auto-batch (QC)",2026072653,"winn","0.1.4","training-QC intensities, run order, and training-QC identities; no supplied batch labels",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"winn_fixed_no_qc","waveica","fixed_primary","prespecified package default","parameters=fixed; supplied_batch=TRUE; controls=NULL; fdr=0.05; Ljung-Box fitdf=0; conservative spline; ANOVA selective; PQN shrink",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN fixed default (no QC)",2026072654,"winn","0.1.4","supplied batch labels and run order; no QC identities or intensities",FALSE,"No departure from the published, native, or prespecified default.",TRUE
