"dataset_key","method_id","decision","evidence","final_validation","method","public_reproduction_decision","public_reproduction_evidence","recorded_reuse_decision","seed","n_features","n_samples","input_object_sha256","output_object_sha256","matrix_file_sha256","package_version","package_source_sha256","warning_lines","error_lines","decision_matches_run_manifest"
"mtbls79","tiger","rerun_required","native 4 x 4 TIGER ensemble with 500 trees required for the canonical input","passed","TIGER","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072614,2488,172,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","cb08f2cf990b0e8e3cbe8e0a3505a216dbfb2dac945b87b781453fbf88a9f658","aec58cb234f5ace4aed69bb404efc439540245cd60329129df23c3a1a99560cf","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"mtbls79","serrf","rerun_required","endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available","passed","SERRF","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072615,2488,172,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","4d51558f8bc9e4c7bd6ac676d864546ac6ed49f60d64bff63e5d2e62043bcd48","c626bff7a5ab74e07965b5adee03b9863bafcafa824eb41b461f65693a755cee","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"clinical_fiams","raw","reuse_exact","canonical input matrix is the Raw result","passed","Raw","rerun_required","The Raw identity result is regenerated directly from the canonical prepared input.","reuse_exact",2026072619,1594,660,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","bca4831b6b20728481c414abf02ce77ec859f9be84e81762b0058c79f3d7700c","5cd206835e4da5f67baf664bd07709c8518c969823c1072b6800fccfee4c979b","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"clinical_fiams","combat","reuse_exact","endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable","passed","ComBat","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","reuse_exact",2026072620,1594,660,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","d05ea6aba3767b216932ac4474067d5b110b8db084acec695e85f925d1159f7a","12a15a13b6d09bc10e4c8f6b2e24f1209ee57626cc5ec55a40a6cb6a41c373e2","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"clinical_fiams","qc_rlsc","rerun_required","endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available","passed","QC-RLSC","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072621,1594,660,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","fdf3b11936c2355a02d4ffd7cdcc3ef54a0487afd885c6a97a3360cf9b77da64","1b53c010c71b31e175d5f7e576ba261c815892521714bc70d43c97c424a9c092","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"clinical_fiams","qc_rfsc","rerun_required","endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available","passed","QC-RFSC","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072622,1594,660,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","e23ff5e6a22ac3f35be4f8229065d8837f01e68ed7e0dc512091e2d77beac75e","77855b41a5e9bb77b17cc3fabf9b304bcdeb290c1c3163e2d3a891466b1b91fb","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"clinical_fiams","tiger","rerun_required","native 4 x 4 TIGER ensemble with 500 trees required for the canonical input","passed","TIGER","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072623,1594,660,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","276cc168723502c38ee356976b48a3045934f7036f9a4fb17a730afc96dd841d","aebc8b6b3bb4282ceaf382905c7ec4b316c9a3a440c3e6d955e88f21cb2e2d13","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"clinical_fiams","serrf","rerun_required","endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available","passed","SERRF","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072624,1594,660,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","6c7710d47bb59f8e79cd0e38f87c53e20a5085ee665435f868a901c7fe4b9094","9cac3a02b3a3a61cfa1088e96c8573690d8904dd93f1bc0140e9753483333af9","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"batchcorr_set1","raw","reuse_exact","canonical input matrix is the Raw result","passed","Raw","rerun_required","The Raw identity result is regenerated directly from the canonical prepared input.","reuse_exact",2026072628,199,761,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","805895f3f8824a78339b56671a551ac7412480b664e3dbe08c86328ca1b28425","44174d9bcc30a2b39f86107fd4a722555e3713f458b439cf6274e2c1800040e8","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"batchcorr_set1","combat","reuse_exact","endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable","passed","ComBat","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","reuse_exact",2026072629,199,761,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","5072b7cd8d984fe7a473b860ed7c027214745e74627e9d6ba331e901f373da11","bfe6d4a0e13b95bc05c41532d250fb764df9739a22147e58c295d3fca9af14e5","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"batchcorr_set1","qc_rlsc","reuse_exact","endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable","passed","QC-RLSC","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","reuse_exact",2026072630,199,761,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","5cda656ce83f1b259364006c58e79a125761c3e85dfd2ce800072249e9762539","c6cd0bde2c94baf770d39723dffe2533c50fef5afe396345de74b0a0eae870f2","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"batchcorr_set1","qc_rfsc","rerun_required","endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available","passed","QC-RFSC","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072631,199,761,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","df517d81e46d088e3795da74e69b98608237116872eb31ea9a6ccb9a533105da","1ec40ac7db0a339e290f48fd834635656298efc95c3151ef281428086daf5b78","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"batchcorr_set1","tiger","rerun_required","native 4 x 4 TIGER ensemble with 500 trees required for the canonical input","passed","TIGER","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072632,199,761,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","c55114722b8651af01c7d3e3fba9916c383910a102e63943f3136e1e88208ed8","3e0b9f66cbcb4569377e71e44d141778cc8654883fbe5e17a2359ae22d4c0959","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"batchcorr_set1","serrf","rerun_required","endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available","passed","SERRF","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072633,199,761,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","57d84e22e73b9e57713dee0b848f9bb924c1257776b7961adfa118a89f934945","4256d0e3a0afa243a807d0eb5a927ea66840735324fc8f4da01c9330a4193bc7","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"sacurine","raw","reuse_exact","canonical input matrix is the Raw result","passed","Raw","rerun_required","The Raw identity result is regenerated directly from the canonical prepared input.","reuse_exact",2026072637,113,210,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","08981c6f1d6b06b1d1411ed7b05451e129ee1cb86bbf0f189eeb34b0c0c9e4d8","925c06cd4eecd95e7898227304e313dbeb362f274b565f3651e8f9b20e4d85a8","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"sacurine","combat","reuse_exact","endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable","passed","ComBat","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","reuse_exact",2026072638,113,210,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","29531cc99bd273999b4c2b5651530eadd893695be7e570e3a5edb48c34eb30a9","fcc6c33d4312330adedbf61dec2e8c2517cd999996b476170490ff39f9c40340","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"sacurine","qc_rlsc","rerun_required","endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available","passed","QC-RLSC","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072639,113,210,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","2f68fdf8ead133ce521675c669fef2c2180afa8267fdecac26c201ce4c4e4922","5d837b591fb812824be6090046b1d736d9b9924ba63267f62e467f26f0de9acd","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"sacurine","qc_rfsc","rerun_required","the selected configuration is recoverable, but the retained matrix does not contain the complete canonical feature panel","passed","QC-RFSC","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072640,113,210,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","b85ea412c93b5591af9ca7ca2656603b2e7e62a0b7bc7401bbaebe380fd2bdff","e941c508cad4282045766c522c295cb86497ffa7df8c30f5e701589c624d6d4b","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"sacurine","tiger","rerun_required","native 4 x 4 TIGER ensemble with 500 trees required for the canonical input","passed","TIGER","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072641,113,210,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","0a9bf169885a0d2f2702cad10595bd9d43f85f84131a4147bd1a4c3c0de8d355","2ae75f17bf3bdfaccd1a9d2de2b728dedc38a1d3804b03ed55008d39e5f5b580","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"sacurine","serrf","reuse_exact","endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable","passed","SERRF","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","reuse_exact",2026072642,113,210,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","aee77ee17271fa58c5d6c7f63f6ac715117c744f5153b7733a7692bd85ae0d3b","59aecc3962332439b18c113fbcc48897af4574918ac033e758a247685a476401","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"waveica","raw","reuse_exact","canonical input matrix is the Raw result","passed","Raw","rerun_required","The Raw identity result is regenerated directly from the canonical prepared input.","reuse_exact",2026072646,6461,642,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","c6d45613dc7f0968cfdadee6bea8d6c0af9bd2ad6c759d76931c9728e5cdec5b","5afe89f7f0238ebe928bce3bab6a1cf81e70d3694fe4d09209090b090967c05d","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"waveica","combat","reuse_exact","endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable","passed","ComBat","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","reuse_exact",2026072647,6461,642,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","5d285487b9c0e57e2802dd45267f32d283740d7ee5dd576b7d87dcf96c2224a1","9e3ee509c3c3b44b5afac85714002593c6a8b5ceb419b57e5ca89d1c2238a800","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"waveica","qc_rlsc","rerun_required","endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available","passed","QC-RLSC","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072648,6461,642,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","5504909e38ba0a68d68c43fd44bdb2854faeb8430579f6a50b2916c08e698cdf","39ea76b292b393dc06ac9e1d160971a02eca80195261d364e987d75667bd70d6","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"waveica","qc_rfsc","rerun_required","endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available","passed","QC-RFSC","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072649,6461,642,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","e6a96f182a1957fa375c4311aa9e89c2a6268e2020c71186f141f8daf04eb6bd","7f4f6f897fb222451a50f3342ea9137133f441daab960cf8122bd5bd9fd2a3ed","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"waveica","tiger","rerun_required","native 4 x 4 TIGER ensemble with 500 trees required for the canonical input","passed","TIGER","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072650,6461,642,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","ef8a592c9d6408f4469b8e7d524d251c24fd6ceade77d1b1fe1937f1a4ae7219","3111696dd2142c0c526255eab5ce509acc8c35b112f928d652bbf142d28dbeda","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"waveica","serrf","rerun_required","endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available","passed","SERRF","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072651,6461,642,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","865aa1801a77464345d52e137cdf3748819d614c1f0c03db1ce43c93e003b98c","4aafada545ebd8eae10bf5ca725571c07fb9fa08cfbaa861179135f8ea53cbbb","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
